N03_001,N03_002,N03_003,N03_004,N03_005,N03_006,N03_007
北海道,石狩振興局,札幌市,中央区,,,01101
北海道,石狩振興局,札幌市,北区,,,01102
北海道,石狩振興局,札幌市,東区,,,01103
北海道,石狩振興局,札幌市,白石区,,,01104
北海道,石狩振興局,札幌市,豊平区,,,01105
北海道,石狩振興局,札幌市,南区,,,01106
北海道,石狩振興局,札幌市,西区,,,01107
北海道,石狩振興局,札幌市,厚別区,,,01108
北海道,石狩振興局,札幌市,手稲区,,,01109
北海道,石狩振興局,札幌市,清田区,,,01110
北海道,渡島総合振興局,,函館市,,,01202
北海道,後志総合振興局,,小樽市,,,01203
北海道,上川総合振興局,,旭川市,,,01204
北海道,胆振総合振興局,,室蘭市,,,01205
北海道,釧路総合振興局,,釧路市,,,01206
北海道,十勝総合振興局,,帯広市,,,01207
北海道,オホーツク総合振興局,,北見市,,,01208
北海道,空知総合振興局,,夕張市,,,01209
北海道,空知総合振興局,,岩見沢市,,,01210
北海道,オホーツク総合振興局,,網走市,,,01211
北海道,留萌振興局,,留萌市,,,01212
北海道,胆振総合振興局,,苫小牧市,,,01213
北海道,宗谷総合振興局,,稚内市,,,01214
北海道,空知総合振興局,,美唄市,,,01215
北海道,空知総合振興局,,芦別市,,,01216
北海道,石狩振興局,,江別市,,,01217
北海道,空知総合振興局,,赤平市,,,01218
北海道,オホーツク総合振興局,,紋別市,,,01219
北海道,上川総合振興局,,士別市,,,01220
北海道,上川総合振興局,,名寄市,,,01221
北海道,空知総合振興局,,三笠市,,,01222
北海道,根室振興局,,根室市,,,01223
北海道,石狩振興局,,千歳市,,,01224
北海道,空知総合振興局,,滝川市,,,01225
北海道,空知総合振興局,,砂川市,,,01226
北海道,空知総合振興局,,歌志内市,,,01227
北海道,空知総合振興局,,深川市,,,01228
北海道,上川総合振興局,,富良野市,,,01229
北海道,胆振総合振興局,,登別市,,,01230
北海道,石狩振興局,,恵庭市,,,01231
北海道,胆振総合振興局,,伊達市,,,01233
北海道,石狩振興局,,北広島市,,,01234
北海道,石狩振興局,,石狩市,,,01235
北海道,渡島総合振興局,,北斗市,,,01236
北海道,石狩振興局,石狩郡,当別町,,,01303
北海道,石狩振興局,石狩郡,新篠津村,,,01304
北海道,渡島総合振興局,松前郡,松前町,,,01331
北海道,渡島総合振興局,松前郡,福島町,,,01332
北海道,渡島総合振興局,上磯郡,知内町,,,01333
北海道,渡島総合振興局,上磯郡,木古内町,,,01334
北海道,渡島総合振興局,亀田郡,七飯町,,,01337
北海道,渡島総合振興局,茅部郡,鹿部町,,,01343
北海道,渡島総合振興局,茅部郡,森町,,,01345
北海道,渡島総合振興局,二海郡,八雲町,,,01346
北海道,渡島総合振興局,山越郡,長万部町,,,01347
北海道,檜山振興局,檜山郡,江差町,,,01361
北海道,檜山振興局,檜山郡,上ノ国町,,,01362
北海道,檜山振興局,檜山郡,厚沢部町,,,01363
北海道,檜山振興局,爾志郡,乙部町,,,01364
北海道,檜山振興局,奥尻郡,奥尻町,,,01367
北海道,檜山振興局,瀬棚郡,今金町,,,01370
北海道,檜山振興局,久遠郡,せたな町,,,01371
北海道,後志総合振興局,島牧郡,島牧村,,,01391
北海道,後志総合振興局,寿都郡,寿都町,,,01392
北海道,後志総合振興局,寿都郡,黒松内町,,,01393
北海道,後志総合振興局,磯谷郡,蘭越町,,,01394
北海道,後志総合振興局,虻田郡,ニセコ町,,,01395
北海道,後志総合振興局,虻田郡,真狩村,,,01396
北海道,後志総合振興局,虻田郡,留寿都村,,,01397
北海道,後志総合振興局,虻田郡,喜茂別町,,,01398
北海道,後志総合振興局,虻田郡,京極町,,,01399
北海道,後志総合振興局,虻田郡,倶知安町,,,01400
北海道,後志総合振興局,岩内郡,共和町,,,01401
北海道,後志総合振興局,岩内郡,岩内町,,,01402
北海道,後志総合振興局,古宇郡,泊村,,,01403
北海道,後志総合振興局,古宇郡,神恵内村,,,01404
北海道,後志総合振興局,積丹郡,積丹町,,,01405
北海道,後志総合振興局,古平郡,古平町,,,01406
北海道,後志総合振興局,余市郡,仁木町,,,01407
北海道,後志総合振興局,余市郡,余市町,,,01408
北海道,後志総合振興局,余市郡,赤井川村,,,01409
北海道,空知総合振興局,空知郡,南幌町,,,01423
北海道,空知総合振興局,空知郡,奈井江町,,,01424
北海道,空知総合振興局,空知郡,上砂川町,,,01425
北海道,空知総合振興局,夕張郡,由仁町,,,01427
北海道,空知総合振興局,夕張郡,長沼町,,,01428
北海道,空知総合振興局,夕張郡,栗山町,,,01429
北海道,空知総合振興局,樺戸郡,月形町,,,01430
北海道,空知総合振興局,樺戸郡,浦臼町,,,01431
北海道,空知総合振興局,樺戸郡,新十津川町,,,01432
北海道,空知総合振興局,雨竜郡,妹背牛町,,,01433
北海道,空知総合振興局,雨竜郡,秩父別町,,,01434
北海道,空知総合振興局,雨竜郡,雨竜町,,,01436
北海道,空知総合振興局,雨竜郡,北竜町,,,01437
北海道,空知総合振興局,雨竜郡,沼田町,,,01438
北海道,上川総合振興局,上川郡,鷹栖町,,,01452
北海道,上川総合振興局,上川郡,東神楽町,,,01453
北海道,上川総合振興局,上川郡,当麻町,,,01454
北海道,上川総合振興局,上川郡,比布町,,,01455
北海道,上川総合振興局,上川郡,愛別町,,,01456
北海道,上川総合振興局,上川郡,上川町,,,01457
北海道,上川総合振興局,上川郡,東川町,,,01458
北海道,上川総合振興局,上川郡,美瑛町,,,01459
北海道,上川総合振興局,空知郡,上富良野町,,,01460
北海道,上川総合振興局,空知郡,中富良野町,,,01461
北海道,上川総合振興局,空知郡,南富良野町,,,01462
北海道,上川総合振興局,勇払郡,占冠村,,,01463
北海道,上川総合振興局,上川郡,和寒町,,,01464
北海道,上川総合振興局,上川郡,剣淵町,,,01465
北海道,上川総合振興局,上川郡,下川町,,,01468
北海道,上川総合振興局,中川郡,美深町,,,01469
北海道,上川総合振興局,中川郡,音威子府村,,,01470
北海道,上川総合振興局,中川郡,中川町,,,01471
北海道,上川総合振興局,雨竜郡,幌加内町,,,01472
北海道,留萌振興局,増毛郡,増毛町,,,01481
北海道,留萌振興局,留萌郡,小平町,,,01482
北海道,留萌振興局,苫前郡,苫前町,,,01483
北海道,留萌振興局,苫前郡,羽幌町,,,01484
北海道,留萌振興局,苫前郡,初山別村,,,01485
北海道,留萌振興局,天塩郡,遠別町,,,01486
北海道,留萌振興局,天塩郡,天塩町,,,01487
北海道,宗谷総合振興局,宗谷郡,猿払村,,,01511
北海道,宗谷総合振興局,枝幸郡,浜頓別町,,,01512
北海道,宗谷総合振興局,枝幸郡,中頓別町,,,01513
北海道,宗谷総合振興局,枝幸郡,枝幸町,,,01514
北海道,宗谷総合振興局,天塩郡,豊富町,,,01516
北海道,宗谷総合振興局,礼文郡,礼文町,,,01517
北海道,宗谷総合振興局,利尻郡,利尻町,,,01518
北海道,宗谷総合振興局,利尻郡,利尻富士町,,,01519
北海道,宗谷総合振興局,天塩郡,幌延町,,,01520
北海道,オホーツク総合振興局,網走郡,美幌町,,,01543
北海道,オホーツク総合振興局,網走郡,津別町,,,01544
北海道,オホーツク総合振興局,斜里郡,斜里町,,,01545
北海道,オホーツク総合振興局,斜里郡,清里町,,,01546
北海道,オホーツク総合振興局,斜里郡,小清水町,,,01547
北海道,オホーツク総合振興局,常呂郡,訓子府町,,,01549
北海道,オホーツク総合振興局,常呂郡,置戸町,,,01550
北海道,オホーツク総合振興局,常呂郡,佐呂間町,,,01552
