産婦人科時間距離,時間距離 平均,時間距離 最大,時間距離 最小,時間距離 最大最小比,人口
七飯町,870.623628692,1679.1,246.6,6.8090024331,26799.5930889
三笠市,729.667105263,1401.7,337.2,4.1568801898,11804.6228822
上ノ国町,1074.64368932,1846.9,522.3,3.5360903695,5105.56906401
上士幌町,2137.00684932,4179.5,1701.7,2.4560733384,4311.78227603
上富良野町,1046.16426117,1927.1,646.8,2.9794372294,10178.2044209
上川町,2784.06410256,5232.4,2254.2,2.3211782451,4872.4997518
上砂川町,471.45,624.9,290,2.1548275862,3276.48163552
下川町,1017.75961538,1585.3,581,2.7285714286,3884.48853696
中富良野町,575.173958333,1085.6,196.2,5.5331294597,5037.1682876
中川町,3885.56571429,4477.3,3394.6,1.3189477405,1818.95398013
中札内村,1601.69724771,2350.1,1135,2.0705726872,4593.82992197
中標津町,779.373884298,2002.5,38.4,52.1484375,22591.6786585
中頓別町,3897.45609756,4616.8,2934.5,1.5732833532,1733.66412313
乙部町,687.393103448,1226.7,319,3.8454545455,3308.57088865
京極町,802.447413793,1761.9,427.8,4.118513324,3768.79833488
仁木町,1455.31204819,1846.1,1128.4,1.6360333215,3990.88974471
今金町,2461.77387097,3219,1595.8,2.0171700714,6524.25183403
伊達市,604.998170732,2559.2,45.4,56.3700440529,28087.3854843
佐呂間町,1747.62668329,2487.8,905,2.7489502762,6889.90042893
余市町,1208.41173709,1963.6,792.1,2.4789799268,20422.2762561
倶知安町,355.16171875,1124.4,19.2,58.5625,13868.468531
八雲町,635.518933333,2247.4,3.4,661,16653.4779212
共和町,1097.44398496,1728.6,442.2,3.9090909091,4676.58641689
函館市,920.102134647,2928.4,5,585.68,246085.726633
初山別村,3458.73846154,4115.7,2885.3,1.4264374588,890.054547382
別海町,1034.58456929,2592.2,25.2,102.8650793651,15978.7591514
利尻富士町,13043.6712329,13853.1,12554.5,1.1034370146,2546.02889977
利尻町,13153.5642857,13327.8,12950.2,1.0291578508,399.426756083
剣淵町,1711.56587031,2599.6,1177.4,2.2079157466,3776.39842115
北広島市,702.927075812,1440.8,209.2,6.8871892925,69164.1628546
北斗市,706.280582524,1323.8,155.6,8.5077120823,32011.5633607
北竜町,1038.29545455,1731.5,779.3,2.221865777,2031.75639564
北見市,896.21091954,2537.8,28.7,88.425087108,132297.235029
千歳市,624.731180401,1867.2,23.6,79.1186440678,91804.8198469
南富良野町,1868.14375,2976.7,986.2,3.0183532752,2524.91754902
南幌町,757.601886792,1035.2,390.8,2.6489252815,10644.3430453
占冠村,2458.93728814,2964.7,2154.7,1.3759224022,1255.70314227
厚岸町,2177.10205479,2930.3,1220.8,2.4003112713,9334.59484512
厚沢部町,808.003921569,1267.1,79,16.0392405063,4416.49457572
厚真町,1705.2556231,2700.3,1079.7,2.5009724924,4654.63061211
古平町,1948.99069767,2249.1,1632.1,1.3780405612,3072.96821435
名寄市,580.817728055,1390.3,57.5,24.1791304348,33784.0723692
和寒町,2064.81361702,2665.5,1636,1.6292787286,4872.4997518
喜茂別町,1415.91946903,2110.3,891.2,2.3679308797,2253.00335144
増毛町,988.504424779,1973.7,450.3,4.383077948,4443.51710467
士別市,1456.95524781,3188.6,574.3,5.552150444,23941.1161981
士幌町,1665.58114558,2300.4,947.9,2.4268382741,5783.66564992
壮瞥町,937.302380952,1483.3,541.4,2.7397487994,3395.54965372
夕張市,2217.27840376,3392.8,1626,2.0865928659,11030.2585369
大樹町,2962.13793103,4042.7,2301.7,1.7563974454,6354.51657405
大空町,1297.13059361,2278.1,591.4,3.8520459926,8729.9657598
天塩町,3343.54639175,4203.5,2539.9,1.6549864168,2643.98556722
奈井江町,472.072357724,924,239.3,3.8612620142,6192.38140033
奥尻町,15854.2875,16541.7,15231.2,1.0860404958,2338.29320844
妹背牛町,604.526404494,1025.8,310.5,3.3037037037,3997.64537695
安平町,1296.92347826,2241.4,770.6,2.9086426161,9821.8448203
室蘭市,362.830901288,1242.8,52.5,23.6723809524,86435.7811256
富良野市,794.360338983,1810.7,34.1,53.0997067449,25716.1585687
寿都町,2729.64444444,3382.8,2099.2,1.6114710366,2790.07611437
小平町,1217.20869565,2462.8,459.7,5.3574070046,2605.98513588
小樽市,392.005013928,990.6,26.8,36.9626865672,137536.227829
小清水町,1579.37043702,2067.6,955.7,2.1634404102,4952.72288462
岩内町,1365.17654321,1741.2,1160.1,1.5009050944,12619.5210209
岩見沢市,597.07985803,1535.6,27.4,56.0437956204,82969.2973334
島牧村,4147.92105263,5363.7,3486,1.5386402754,1979.40024579
帯広市,927.955507088,2391.6,30.5,78.4131147541,168578.357964
幌加内町,2214.78827586,2895.5,1327.9,2.1805105806,1563.08440911
幌延町,3105.16545455,4652.5,2005.7,2.3196390288,3721.50890921
幕別町,1288.04096552,3468.2,164.9,21.0321406913,28230.9426694
平取町,3492.43320611,4673,2380.9,1.9627031795,5191.70337505
広尾町,3525.54117647,4415,2740.6,1.6109611034,6836.69982505
弟子屈町,2775.31642229,3573.1,1891.2,1.8893295262,8144.75911717
当別町,1010.82282878,2818.3,498.9,5.6490278613,18226.6957786
当麻町,1240.9466443,1843.6,846.5,2.1779090372,6077.53565228
恵庭市,756.11212938,1404.6,310.3,4.5265871737,67970.1048565
愛別町,1888.00828025,2555.4,1411.2,1.8107993197,3154.88025524
斜里町,2271.77044199,4339.5,1503,2.8872255489,13605.8433277
新冠町,3289.84562738,4708.6,2254,2.0889973381,3627.77451191
新十津川町,515.048159509,1527.5,142.6,10.7117812062,9198.63774633
新得町,1894.31829268,5195.5,1209.3,4.2962871082,6413.62835613
新ひだか町,1883.30996094,3221.9,822.3,3.9181563906,21566.5114664
新篠津村,990.203952569,1343.4,563.6,2.3836053939,3987.51192859
日高町,2927.08088235,5299.2,1981.8,2.6739327884,10402.8291928
旭川市,622.559505988,1820.6,20.5,88.8097560976,341864.547144
更別村,1978.07411765,2917.9,1547.9,1.885070095,3094.07956509
月形町,1403.27696629,2151.9,905.9,2.3754277514,4839.56604464
木古内町,1931.13947368,2371.4,1295.8,1.8300663683,3452.12807372
本別町,2595.21489362,3557.8,1813.7,1.9616254066,7354.3501453
札幌市,364.197380828,1665,4.4,378.4090909091,1915917.56965
東川町,1058.44713656,3021,577.1,5.234794663,6311.44941853
東神楽町,745.694930876,1795.9,90.5,19.844198895,14999.1924768
松前町,2862.59344262,3619.2,1989.3,1.8193334339,4360.76060975
枝幸町,3782.81708075,5915.3,2822.7,2.095617671,8159.11483568
栗山町,1169.5,1764,686.5,2.5695557174,14924.8805222
