産婦人科時間距離,人口(0～15分),人口(15～30分),人口(30～45分),人口(45～60分),人口(60～75分),人口(75～90分),人口(90～105分),人口(105～120分),人口(120～135分),人口(135～150分),人口(150～165分),人口(165～180分),人口(180～195分),人口(195～210分),人口(210～225分),人口(225～240分),人口(240～255分),人口(255～270分),人口(270～285分),人口(285～300分),人口(300～315分),人口(315～330分),人口(330～345分),人口(345～360分),人口率(0～15分),人口率(15～30分),人口率(30～45分),人口率(45～60分),人口率(60～75分),人口率(75～90分),人口率(90～105分),人口率(105～120分),人口率(120～135分),人口率(135～150分),人口率(150～165分),人口率(165～180分),人口率(180～195分),人口率(195～210分),人口率(210～225分),人口率(225～240分),人口率(240～255分),人口率(255～270分),人口率(270～285分),人口率(285～300分),人口率(300～315分),人口率(315～330分),人口率(330～345分),人口率(345～360分)
七飯町,24512.8115763,2286.78151263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914671036047,0.0853289639526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三笠市,9944.29065462,1860.33222759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842406466843,0.157593533157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上ノ国町,2995.27844361,2041.04538996,69.2452304415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586668871981,0.399768441945,0.0135626860734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上士幌町,0,1355.34871779,2843.27671825,109.779023871,3.3778161191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.314336075206,0.659420289855,0.0254602428515,0.00078339208774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上富良野町,8874.3673989,1294.54802764,9.28899432751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871899112254,0.127188251887,0.000912635858293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上川町,0,0,4143.7359241,685.696672177,41.3782474589,1.68890805955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.850433275563,0.140727902946,0.00849220103986,0.000346620450607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上砂川町,3276.48163552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下川町,1903.39938311,1981.08915385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中富良野町,4945.12279836,92.0454892454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981726739313,0.0182732606873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中川町,0,0,0,274.447559677,1544.50642046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.150882079851,0.849117920149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
