第39表 死亡数，選択死因分類・保健所・市町村別,02_死亡総数,03_結核Ｓｅ01,04_悪性新生物Ｓｅ02,05_胃の悪性新生物（再掲）Ｓｅ04,06_糖尿病Ｓｅ14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成25年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
札幌市,16844,22,5680,652,185,2293,1384,1478,516,373,53,376
小樽市,1924,3,578,62,17,412,174,187,49,44,7,24
函館市,3586,5,1064,140,38,583,264,425,153,76,10,56
旭川市,3909,2,1171,133,25,642,257,448,201,81,14,61
江別市,1035,1,378,47,4,141,64,118,33,23,3,20
石狩市,589,0,199,21,8,74,56,53,14,10,4,12
当別町,181,0,64,8,7,18,22,14,4,2,0,3
新篠津村,46,0,9,0,2,8,4,6,4,0,0,1
千歳市,665,0,202,24,5,116,52,54,12,26,0,19
恵庭市,578,0,197,24,11,102,37,65,14,20,3,17
北広島市,483,1,146,7,6,70,46,53,16,16,4,10
夕張市,219,0,60,13,5,32,22,12,22,5,0,6
岩見沢市,1107,0,325,35,12,190,93,89,65,25,4,14
美唄市,390,0,91,5,7,73,36,42,12,14,1,5
三笠市,220,0,54,7,1,37,15,24,4,2,0,6
南幌町,88,0,35,4,2,12,5,7,0,4,1,1
由仁町,100,1,33,3,3,20,9,5,7,4,2,1
長沼町,156,0,36,6,1,29,10,21,9,3,1,3
栗山町,183,0,49,5,1,34,21,19,17,7,2,1
月形町,59,0,12,1,0,8,11,6,5,2,0,1
芦別市,284,0,89,10,7,60,18,18,5,10,3,4
赤平市,254,0,77,8,6,46,18,29,5,4,1,2
滝川市,524,0,160,25,6,101,35,51,8,20,1,14
砂川市,243,0,77,3,3,37,18,20,11,7,0,1
歌志内市,101,0,32,5,4,10,11,16,0,1,0,0
奈井江町,93,1,26,4,0,15,12,9,4,3,0,0
上砂川町,66,0,16,1,0,12,8,7,5,2,0,0
浦臼町,38,0,14,4,0,4,3,2,4,0,0,1
新十津川町,78,0,23,3,2,14,8,10,2,2,0,3
雨竜町,35,0,8,1,1,3,5,2,1,2,1,1
深川市,335,0,81,9,5,76,20,51,12,5,1,6
妹背牛町,54,0,24,1,1,8,5,6,0,0,0,1
秩父別町,57,0,19,1,0,7,8,8,1,4,0,1
北竜町,39,0,7,0,0,10,1,5,4,2,1,0
沼田町,66,0,18,1,1,15,4,12,3,1,1,1
富良野市,263,1,87,12,1,41,22,28,14,10,2,2
上富良野町,130,0,43,6,0,19,16,11,11,5,1,1
中富良野町,69,0,17,1,0,11,14,9,1,2,2,3
南富良野町,49,1,5,1,3,5,5,5,12,0,0,1
占冠村,8,0,3,1,0,1,1,0,0,0,0,0
士別市,297,0,80,17,4,53,29,29,19,15,3,5
名寄市,342,1,100,18,4,57,21,30,29,9,0,4
和寒町,50,0,16,1,0,13,2,9,0,0,0,0
剣淵町,63,0,20,2,0,14,4,6,6,2,0,0
下川町,77,0,22,1,2,14,7,1,3,3,0,1
美深町,83,0,22,5,0,11,11,7,4,0,0,1
音威子府村,11,0,2,0,0,1,1,0,2,0,0,1
中川町,33,0,12,3,0,5,3,2,1,0,0,1
共和町,90,0,35,6,1,11,5,8,5,4,1,0
岩内町,205,0,61,9,0,34,24,19,7,7,2,2
泊村,48,0,13,3,2,10,5,5,4,0,0,0
神恵内村,14,0,4,0,0,5,2,1,1,0,0,0
島牧村,29,0,9,1,1,3,1,3,4,1,1,0
寿都町,58,0,22,2,0,10,7,4,7,2,2,0
黒松内町,58,0,15,1,2,8,7,5,5,1,0,1
蘭越町,87,0,19,3,3,16,9,5,2,2,0,3
ニセコ町,66,0,19,1,0,7,7,6,2,3,0,1
真狩村,29,0,9,1,0,5,1,3,5,0,0,0
留寿都村,20,0,12,2,0,2,2,0,1,0,0,0
喜茂別町,43,0,15,2,1,9,3,3,5,1,0,0
京極町,45,0,14,0,1,6,5,1,4,1,0,0
倶知安町,138,0,39,4,3,17,7,14,14,3,0,5
積丹町,50,0,14,1,1,7,5,1,6,0,0,0
古平町,59,1,15,2,0,15,1,6,2,2,0,2
仁木町,77,0,28,4,0,13,4,6,7,0,0,0
余市町,285,1,74,7,4,56,11,36,15,5,1,5
赤井川村,17,0,7,1,0,1,1,3,1,2,0,0
江差町,118,0,41,4,2,22,6,15,6,5,1,2
上ノ国町,85,0,23,5,1,16,12,10,1,2,0,3
厚沢部町,71,0,17,0,0,19,7,2,3,3,0,2
乙部町,61,0,23,3,2,11,4,5,2,1,0,1
奥尻町,52,0,14,0,0,5,7,5,1,1,1,1
北斗市,577,1,169,35,8,79,52,76,18,18,3,12
松前町,146,0,48,5,3,17,10,12,5,6,2,1
福島町,92,0,29,4,1,10,12,10,2,3,2,2
知内町,74,0,16,3,0,11,10,4,2,4,0,2
木古内町,106,0,25,4,0,19,14,4,6,4,1,2
七飯町,341,0,88,8,3,49,25,42,16,9,0,7
鹿部町,64,0,21,2,2,8,4,7,3,3,1,1
森町,264,1,82,8,3,54,21,21,8,6,1,7
八雲町,282,0,83,12,3,51,25,31,9,5,1,3
長万部町,103,0,25,3,1,26,10,9,11,1,1,1
今金町,99,0,28,3,2,15,12,11,2,7,1,1
せたな町,179,0,39,5,1,45,19,21,7,3,0,3
室蘭市,1203,1,338,33,25,221,116,111,21,23,1,18
登別市,640,1,200,26,9,116,61,55,13,15,3,13
伊達市,428,0,120,12,3,82,38,59,12,11,0,7
豊浦町,79,0,17,2,0,25,7,5,3,1,0,1
壮瞥町,57,0,13,2,0,12,7,7,1,4,0,0
洞爺湖町,130,0,40,4,3,27,13,15,3,5,2,2
苫小牧市,1650,1,518,70,22,308,144,171,29,44,11,26
白老町,301,0,93,11,5,56,24,38,9,6,1,3
厚真町,71,0,19,3,0,13,6,12,1,3,0,1
安平町,117,0,35,6,0,23,13,14,1,3,0,1
むかわ町,139,0,33,7,2,22,17,12,7,4,2,2
浦河町,168,0,56,12,3,22,15,20,3,5,1,5
様似町,63,0,9,1,1,17,5,7,4,4,1,1
えりも町,71,0,20,5,0,10,7,9,4,5,3,3
日高町,195,0,52,5,0,29,19,23,31,3,1,3
平取町,76,0,13,5,1,17,13,8,2,4,0,1
新冠町,71,0,22,1,0,11,8,8,1,2,0,4
新ひだか町,312,0,83,11,2,50,37,37,18,14,3,5
帯広市,1552,3,469,59,19,241,139,133,37,49,10,52
音更町,427,0,138,21,8,51,32,41,26,17,0,7
士幌町,90,0,22,4,2,12,9,14,10,1,0,1
上士幌町,75,0,17,2,1,17,5,6,4,2,1,5
鹿追町,58,0,14,1,0,9,6,6,8,0,0,0
新得町,97,0,20,2,2,17,9,11,4,11,2,2
清水町,137,0,37,6,3,24,9,10,19,6,3,0
芽室町,186,0,55,3,4,33,18,19,4,8,2,8
中札内村,58,0,19,3,1,6,4,3,13,0,0,1
更別村,44,0,12,3,0,7,0,2,8,3,3,1
大樹町,53,0,17,2,0,8,5,2,2,2,0,2
広尾町,108,0,30,5,1,14,14,8,4,6,4,3
