第40表 死亡率（人口10万対），選択死因分類・保健所・市町村別,02_死亡総数,03_結核Se01,04_悪性新生物Se02,05_胃の悪性新生物（再掲）Se04,06_糖尿病Se14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成２５年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
札幌市,873.46570490715135,1.141,294.500,33.810,9.600,118.900,71.800,76.592,26.800,19.300,2.748,19.500
小樽市,1529.1686536321729,2.384,459.400,49.277,13.511,327.500,138.300,148.625,38.945,34.971,5.564,19.075
函館市,1323.9311821605259,1.846,392.800,51.700,14.029,215.200,97.500,156.908,56.487,28.100,3.700,20.675
旭川市,1148.7598448336664,0.588,344.100,39.085,7.347,188.700,75.500,131.069,59.069,23.800,4.114,17.900
江別市,849.6839339955668,0.821,310.300,38.585,3.284,115.800,52.500,96.872,27.091,18.882,2.463,16.419
石狩市,1011.1587982832617,,341.600,36.052,13.734,127.000,96.100,90.987,24.034,17.200,6.900,20.601
当別町,1022.0214568040655,,361.400,45.172,39.526,101.600,124.200,79.100,22.586,11.293,,16.940
新篠津村,1398.1762917933131,,273.600,,60.790,243.200,121.600,182.371,121.581,,,30.395
千歳市,704.22535211267609,,213.900,25.416,5.295,122.800,55.100,57.185,12.708,27.534,,20.121
恵庭市,839.14053426248552,,286.000,34.843,15.970,148.100,53.700,94.367,20.325,29.036,4.355,24.681
北広島市,811.21934833725231,1.680,245.200,11.757,10.077,117.600,77.300,89.016,26.873,26.873,6.718,16.795
夕張市,2246.1538461538462,,615.400,133.333,51.282,328.200,225.600,123.077,225.641,51.282,,61.538
岩見沢市,1271.0988632449189,,373.200,40.188,13.779,218.200,106.800,102.193,74.635,28.706,4.593,16.075
美唄市,1610.90458488228,,375.900,20.653,28.914,301.500,148.700,173.482,49.566,57.827,4.131,20.653
三笠市,2323.1256599788808,,570.200,73.918,10.560,390.700,158.400,253.432,42.239,21.119,,63.358
南幌町,1075.7946210268949,,427.900,48.900,24.450,146.700,61.100,85.575,0,48.900,12.225,12.225
由仁町,1811.5942028985507,18.116,597.800,54.348,54.348,362.300,163.000,90.580,126.812,72.464,36.232,18.116
長沼町,1375.6613756613756,,317.500,52.910,8.818,255.700,88.200,185.185,79.365,26.455,8.818,26.455
栗山町,1440.9448818897638,,385.800,39.370,7.874,267.700,165.400,149.606,133.900,55.118,15.748,7.874
月形町,1257.9957356076759,,255.900,21.322,,170.600,234.500,127.932,106.610,42.644,,21.322
芦別市,1836.9987063389392,,575.700,64.683,45.278,388.100,116.400,116.429,32.342,64.683,19.405,25.873
赤平市,2182.1305841924395,,661.500,68.729,51.546,395.200,154.600,249.141,42.955,34.364,8.591,17.182
滝川市,1253.5885167464116,,382.800,59.809,14.354,241.600,83.700,122.010,19.139,47.847,2.392,33.493
砂川市,1322.8089275993468,,419.200,16.331,16.331,201.400,98.000,108.873,59.880,38.106,,5.444
歌志内市,2563.4517766497461,,812.200,126.904,101.523,253.800,279.200,406.091,,25.381,,
奈井江町,1595.1972555746142,17.200,446.000,68.611,,257.300,205.800,154.374,68.611,51.458,,
上砂川町,1760,,426.700,26.667,,320.000,213.300,186.667,133.333,53.333,,
浦臼町,1853.6585365853657,,682.900,195.122,,195.100,146.300,97.561,195.122,,,48.780
新十津川町,1119.0817790530846,,330.000,43.042,28.694,200.900,114.800,143.472,28.694,28.694,,43.042
雨竜町,1211.0726643598616,,276.800,34.602,34.602,103.800,173.000,69.204,34.602,69.204,34.602,34.602
深川市,1481.6452896948254,,358.200,39.805,22.114,336.100,88.500,225.564,53.074,22.114,4.423,26.537
妹背牛町,1682.2429906542056,,747.700,31.153,31.153,249.200,155.800,186.916,,,,31.153
秩父別町,2175.5725190839694,,725.200,38.168,,267.200,305.300,305.344,38.168,152.672,,38.168
北竜町,1902.439024390244,,341.500,,,487.800,48.780,243.902,195.122,97.561,48.780,
沼田町,1946.9026548672566,,531.000,29.499,29.499,442.500,118.000,353.982,88.496,29.499,29.499,29.499
富良野市,1121.0571184995738,4.263,370.800,51.151,4.263,174.800,93.800,119.352,59.676,42.626,8.525,8.525
上富良野町,1154.5293072824156,,381.900,53.286,,168.700,142.100,97.691,97.691,44.405,8.881,8.881
中富良野町,1301.8867924528302,,320.800,18.868,,207.500,264.200,169.811,18.868,37.736,37.736,56.604
南富良野町,1828.358208955224,37.313,186.600,37.313,111.940,186.600,186.600,186.567,447.761,,,37.313
占冠村,592.59259259259261,,222.200,74.074,,74.100,74.100,,,,,
士別市,1435.4760753987434,,386.700,82.165,19.333,256.200,140.200,140.164,91.832,72.499,14.500,24.166
名寄市,1164.0571817562968,3.404,340.400,61.266,13.615,194.000,71.500,102.110,98.707,30.633,,13.615
和寒町,1358.695652173913,,434.800,27.200,,353.000,54.300,244.565,,,,
