第81表 医療施設数および率（人口10万対），施設の種類・保健所・市町村別,02_実数病院総数,03_精神科病院,04_一般病院,05_療養病床を有する病院（再掲）,06_一般診療所総数,07_有床,08_療養病床を有する診療所(再掲),09_無床,10_歯科診療所,11_率（人口１０万対）病院総数,12_精神科病院,13_一般病院,14_療養病床を有する病院（再掲）,15_一般診療所総数,16_有床,17_平成26年10月１日現在療養病床を有する診療所(再掲),18_無床,19_歯科診療所
札幌市,205,26,179,65,1312,142,14,1156,1230,10.6,1.3,9.3,3.4,67.8,7.3,0.7,59.8,63.6
小樽市,17,4,13,7,83,14,6,63,79,13.8,3.2,10.5,5.7,67.2,11.3,4.9,51.0,63.9
函館市,29,1,28,15,217,28,3,186,132,10.8,0.4,10.5,5.6,81.0,10.5,1.1,69.4,49.3
旭川市,40,4,36,20,245,33,8,204,182,11.8,1.2,10.6,5.9,72.4,9.8,2.4,60.3,53.8
江別市,6,1,5,2,64,4,1,59,65,4.9,0.8,4.1,1.6,52.8,3.3,0.8,48.6,53.6
石狩市,6,1,5,2,29,5,1,23,24,10.4,1.7,8.7,3.5,50.3,8.7,1.7,39.9,41.6
当別町,1,,1,1,12,,,12,9,5.8,,5.8,5.8,69.3,,,69.3,52.0
新篠津村,,,,,3,,1,2,1,,,,,92.6,,30.9,61.7,30.9
千歳市,8,2,6,3,53,8,,45,46,8.5,2.1,6.4,3.2,56.1,8.5,,47.6,48.7
恵庭市,7,2,5,3,32,7,,25,35,10.2,2.9,7.3,4.4,46.4,10.2,,36.3,50.8
北広島市,5,,5,5,34,5,,29,32,8.4,,8.4,8.4,57.4,8.4,,49.0,54.0
夕張市,,,,,7,1,,6,6,,,,,74.5,10.6,,63.9,63.9
岩見沢市,8,3,5,3,57,12,3,42,51,9.3,3.5,5.8,3.5,66.4,14.0,3.5,48.9,59.4
美唄市,4,,4,3,12,1,,11,15,16.9,,16.9,12.7,50.6,4.2,,46.4,63.3
三笠市,2,,2,2,3,,,3,4,21.5,,21.5,21.5,32.3,,,32.3,43.1
南幌町,1,,1,1,2,1,,1,5,12.4,,12.4,12.4,24.8,12.4,,12.4,62.1
由仁町,1,,1,1,4,,,4,4,18.3,,18.3,18.3,73.4,,,73.4,73.4
長沼町,1,,1,,7,3,,4,6,8.9,,8.9,,62.4,26.8,,35.7,53.5
栗山町,1,,1,1,10,1,,9,8,8.0,,8.0,8.0,80.2,8.0,,72.2,64.2
月形町,1,,1,,4,,,4,1,22.3,,22.3,,89.1,,,89.1,22.3
芦別市,3,1,2,2,6,1,,5,9,20.0,6.7,13.4,13.4,40.1,6.7,,33.4,60.1
赤平市,2,,2,1,3,,,3,5,17.7,,17.7,8.9,26.6,,,26.6,44.4
滝川市,6,1,5,2,25,6,,19,25,14.5,2.4,12.1,4.8,60.3,14.5,,45.8,60.3
砂川市,2,1,1,,9,,,9,9,11.1,5.5,5.5,,49.9,,,49.9,49.9
歌志内市,1,,1,1,4,,,4,2,26.6,,26.6,26.6,106.4,,,106.4,53.2
