脳疾患取り扱い病院時間距離,時間距離 平均,時間距離 最大,時間距離 最小,時間距離 最大最小比,人口
七飯町,836.502109705,1614.5,228.6,7.0625546807,26799.5930889
三笠市,729.667105263,1401.7,337.2,4.1568801898,11804.6228822
上ノ国町,3754.05048544,4723.3,3003.7,1.5724939242,5105.56906401
上士幌町,2032.36712329,4157.7,1631.2,2.5488597352,4311.78227603
上富良野町,1052.43333333,1933.6,653.3,2.959742844,10178.2044209
上川町,2492.45384615,5042,1957.5,2.575734355,4872.4997518
上砂川町,471.45,624.9,290,2.1548275862,3276.48163552
下川町,888.659615385,1456.2,451.9,3.222394335,3884.48853696
中富良野町,583.490625,1117.7,202.7,5.5140601875,5037.1682876
中川町,3825.88761905,4477.3,3394.6,1.3189477405,1818.95398013
中札内村,1396.29724771,2144.7,929.6,2.3071213425,4593.82992197
中標津町,4164.26413223,5001.2,3377.1,1.4809155785,22591.6786585
中頓別町,2323.67073171,2747.8,1891.6,1.4526326919,1733.66412313
乙部町,2719.58275862,3232.2,2070,1.5614492754,3308.57088865
京極町,802.447413793,1761.9,427.8,4.118513324,3768.79833488
仁木町,822.625301205,1599.4,275.9,5.7970279087,3990.88974471
今金町,2461.77387097,3219,1595.8,2.0171700714,6524.25183403
伊達市,603.808231707,2607.3,26.2,99.5152671756,28087.3854843
佐呂間町,1761.20274314,2487.8,905,2.7489502762,6889.90042893
余市町,392.857276995,1133.2,11.9,95.2268907563,20422.2762561
倶知安町,355.16171875,1124.4,19.2,58.5625,13868.468531
八雲町,670.249866667,2247.4,3.4,661,16653.4779212
共和町,1097.44398496,1728.6,442.2,3.9090909091,4676.58641689
函館市,784.848111658,2771.9,1.2,2309.9166666667,246085.726633
初山別村,3458.73846154,4115.7,2885.3,1.4264374588,890.054547382
別海町,3137.53363296,4291.3,1855,2.3133692722,15978.7591514
利尻富士町,13297.1712329,14106.6,12808,1.1013897564,2546.02889977
利尻町,13407.0642857,13581.3,13203.7,1.0285980445,399.426756083
剣淵町,1710.57406143,2309,1177.4,1.9611007304,3776.39842115
北広島市,394.112635379,1044.3,14.6,71.5273972603,69164.1628546
北斗市,693.15631068,1323.8,137.6,9.6206395349,32011.5633607
北竜町,1038.29545455,1731.5,779.3,2.221865777,2031.75639564
北見市,841.582101806,2598,2.3,1129.5652173913,132297.235029
千歳市,587.030512249,1803.6,23.6,76.4237288136,91804.8198469
南富良野町,1908.54375,3017.1,1026.6,2.9389246055,2524.91754902
南幌町,681.231320755,980.1,308.8,3.1738989637,10644.3430453
占冠村,2550.06610169,3035.3,2195.1,1.3827616054,1255.70314227
厚岸町,828.973630137,2284.8,74.9,30.5046728972,9334.59484512
厚沢部町,2465.28137255,2908.3,1861.3,1.5625100736,4416.49457572
厚真町,1529.35805471,2619.2,825,3.1747878788,4654.63061211
古平町,1118.59069767,1418.7,801.7,1.769614569,3072.96821435
名寄市,571.286746988,1390.3,57.5,24.1791304348,33784.0723692
和寒町,1938.1012766,2433.3,1510.7,1.6107102668,4872.4997518
喜茂別町,1415.91946903,2110.3,891.2,2.3679308797,2253.00335144
増毛町,988.504424779,1973.7,450.3,4.383077948,4443.51710467
士別市,1451.45466472,3188.6,574.3,5.552150444,23941.1161981
士幌町,1603.44534606,2231.9,926.1,2.4099989202,5783.66564992
壮瞥町,987.45952381,1531.4,589.5,2.5977947413,3395.54965372
夕張市,2210.05539906,3382.5,1626,2.0802583026,11030.2585369
大樹町,1540.35862069,3141.1,919.7,3.4153528324,6354.51657405
大空町,1345.75570776,2271.8,678.7,3.3472815677,8729.9657598
天塩町,3163.34639175,4023.3,2359.7,1.7050048735,2643.98556722
奈井江町,472.298373984,951.8,239.3,3.977434183,6192.38140033
奥尻町,18730.6875,19418.1,18107.6,1.0723729263,2338.29320844
妹背牛町,604.526404494,1025.8,310.5,3.3037037037,3997.64537695
安平町,1251.68289855,2166.1,689.5,3.1415518492,9821.8448203
室蘭市,328.250214592,1123.3,30.9,36.3527508091,86435.7811256
富良野市,822.801186441,1851.1,27.8,66.5863309353,25716.1585687
寿都町,2729.64444444,3382.8,2099.2,1.6114710366,2790.07611437
小平町,1217.20869565,2462.8,459.7,5.3574070046,2605.98513588
小樽市,309.382451253,984.8,15.3,64.3660130719,137536.227829
小清水町,1566.77043702,2055,943.1,2.178984201,4952.72288462
岩内町,1365.17654321,1741.2,1160.1,1.5009050944,12619.5210209
岩見沢市,597.498047915,1535.6,27.4,56.0437956204,82969.2973334
島牧村,4147.92105263,5363.7,3486,1.5386402754,1979.40024579
帯広市,799.888331516,2243,20.1,111.592039801,168578.357964
幌加内町,2214.78827586,2895.5,1327.9,2.1805105806,1563.08440911
幌延町,2919.01757576,4404.4,1825.5,2.4127088469,3721.50890921
幕別町,1103.31931034,2240.9,164.9,13.5894481504,28230.9426694
平取町,1287.14274809,2449.2,157.1,15.5900700191,5191.70337505
広尾町,717.886425339,1652.8,3.8,434.9473684211,6836.69982505
弟子屈町,3380.55483871,4165,2694.7,1.5456266004,8144.75911717
当別町,990.623076923,2301.1,561.2,4.1003207413,18226.6957786
当麻町,952.040604027,1546.9,549.8,2.8135685704,6077.53565228
恵庭市,331.601078167,921.2,26.7,34.5018726592,67970.1048565
愛別町,1596.26242038,2258.7,1120.6,2.0156166339,3154.88025524
斜里町,2259.17044199,4326.9,1490.4,2.9031803543,13605.8433277
新冠町,1289.34714829,2631.4,294.6,8.9321113374,3627.77451191
新十津川町,482.621779141,1477.9,93,15.8913978495,9198.63774633
新得町,2295.8203252,5474.8,1620.1,3.3792975742,6413.62835613
新ひだか町,954.463476563,2002.4,37.3,53.6836461126,21566.5114664
新篠津村,1023.13043478,1369,657.9,2.0808633531,3987.51192859
日高町,1032.81722689,3929.5,23.7,165.8016877637,10402.8291928
旭川市,503.234730539,1726.1,6.9,250.1594202899,341864.547144
更別村,1766.66392157,2356.1,1342.5,1.755009311,3094.07956509
月形町,1411.59606742,2151.9,905.9,2.3754277514,4839.56604464
木古内町,1931.16447368,2373.3,1295.8,1.8315326439,3452.12807372
本別町,687.467612293,1915.7,17.2,111.3779069767,7354.3501453
札幌市,275.233839707,1641.3,1.5,1094.2,1915917.56965
東川町,1044.18986784,3021,560.1,5.3936797001,6311.44941853
東神楽町,745.458525346,1795.9,90.5,19.844198895,14999.1924768
松前町,4687.77213115,5226,4013.3,1.3021702838,4360.76060975
枝幸町,1216.04906832,2460.9,23.9,102.9665271967,8159.11483568
栗山町,1164.5781768,1724.4,686.5,2.5118718135,14924.8805222
根室市,756.777653631,2731.1,18.4,148.4293478261,27024.2178608
森町,632.030902778,1498.6,0,#VALUE!,15716.1339481
様似町,823.51375,1469.7,332.4,4.4214801444,2307.89286337
