第64表 医師・歯科医師・薬剤師数および率（人口10万対），従業地による保健所・市町村別,03_総数,04_医師医療施設の従事者,05_医療施設以外の従事者,06_その他,07_総数,08_歯科医師医療施設の従事者,09_医療施設以外の従事者,10_その他,11_総数,12_薬剤師薬局の従事者,13_病院・診療所の従事者,14_大学の従事者,15_医薬品関係従事者,16_衛生行政・保健衛生従事者,17_その他,18_平成２６年末現在率(人口１０万対）医師,19_歯科医師,20_薬剤師,24_人口,25_医師,26_歯科医師,27_薬剤師
札幌市,6418,6100,272,46,2118,2037,50,31,5015,2651,1223,91,661,99,290,331.8,109.5,259.2,1934450,331.8,109.5,259.2
小樽市,301,295,3,3,106,100,1,5,359,181,77,55,25,2,19,243.6,85.8,290.6,123550,243.6,85.8,290.6
函館市,777,750,16,11,185,178,2,5,672,447,135,1,47,9,33,290.1,69.1,250.9,267870,290.1,69.1,250.9
旭川市,1280,1233,47,0,253,243,4,6,826,471,205,14,77,13,46,378.2,74.8,244.1,338420,378.2,74.8,244.1
江別市,173,161,11,1,85,84,0,1,178,133,27,1,1,3,13,142.6,70.1,146.8,121280,142.6,70.1,146.8
石狩市,57,57,0,0,33,32,0,1,76,43,16,0,12,0,5,98.9,57.3,131.9,57640,98.9,57.3,131.9
当別町,23,11,12,0,134,117,17,0,68,9,3,53,0,0,3,132.8,773.7,392.6,17320,132.8,773.7,392.6
新篠津村,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,61.7,30.9,－,3240,61.7,30.9,－
千歳市,124,119,5,0,61,60,1,0,127,75,21,0,21,3,7,131.3,64.6,134.4,94470,131.3,64.6,134.4
恵庭市,122,115,7,0,47,47,0,0,120,79,30,1,2,3,5,176.9,68.2,174,68960,176.9,68.2,174
北広島市,63,61,2,0,48,46,0,2,87,49,15,0,18,0,5,106.4,81,146.9,59230,106.4,81,146.9
夕張市,9,7,2,0,8,8,0,0,13,10,1,0,2,0,0,95.8,85.2,138.4,9390,95.8,85.2,138.4
岩見沢市,177,169,6,2,62,62,0,0,145,88,35,0,6,11,5,206.3,72.3,169,85810,206.3,72.3,169
美唄市,44,41,2,1,18,18,0,0,31,22,9,0,0,0,0,185.7,75.9,130.8,23700,185.7,75.9,130.8
三笠市,15,14,1,0,3,3,0,0,11,8,3,0,0,0,0,161.5,32.3,118.4,9290,161.5,32.3,118.4
南幌町,5,3,2,0,6,6,0,0,5,3,1,0,1,0,0,62.1,74.5,62.1,8050,62.1,74.5,62.1
由仁町,3,3,0,0,6,6,0,0,5,2,1,0,1,0,1,55,110.1,91.7,5450,55,110.1,91.7
長沼町,16,13,3,0,5,5,0,0,22,18,3,0,0,0,1,142.7,44.6,196.3,11210,142.7,44.6,196.3
栗山町,16,14,1,1,8,8,0,0,14,12,2,0,0,0,0,128.3,64.2,112.3,12470,128.3,64.2,112.3
月形町,5,4,1,0,4,4,0,0,5,1,4,0,0,0,0,111.4,89.1,111.4,4490,111.4,89.1,111.4
芦別市,22,21,1,0,10,10,0,0,24,12,9,0,1,0,2,146.9,66.8,160.2,14980,146.9,66.8,160.2
赤平市,29,27,1,1,5,5,0,0,21,14,6,0,0,0,1,257.3,44.4,186.3,11270,257.3,44.4,186.3
