第84表 医療施設の病床数，施設の種類・保健所・市町村別,02_総数,03_病院小計,04_精神病床,05_感染症病床,06_結核病床,07_療養病床,08_一般病床,09_一般診療所小計,10_療養病床,11_平成26年10月１日現在一般病床,12_歯科診療所
札幌市,39508,37154,7223,8,102,7860,21961,2340,149,2191,14
小樽市,3535,3243,953,2,15,847,1426,292,63,229,
函館市,6779,6284,1332,6,40,1014,3892,495,22,473,
旭川市,7940,7322,1091,6,20,1696,4509,618,110,508,
江別市,1254,1174,372,,,179,623,80,14,66,
石狩市,749,663,119,,,293,251,86,8,78,
当別町,58,58,,,,58,,,,,
新篠津村,19,,,,,,,19,15,4,
千歳市,1122,1009,416,,,224,369,113,,113,
恵庭市,1183,1099,356,,,186,557,84,,84,
北広島市,756,682,,,,573,109,74,,74,
夕張市,19,,,,,,,19,,19,
岩見沢市,1976,1742,727,4,12,279,720,234,27,207,
美唄市,437,434,,,,164,270,3,,3,
三笠市,292,292,65,,,136,91,,,,
南幌町,99,80,,,,54,26,19,,19,
由仁町,57,57,,,,45,12,,,,
長沼町,172,128,44,,,,84,44,,44,
栗山町,150,136,,,,40,96,14,,14,
月形町,40,40,,,,,40,,,,
芦別市,440,421,212,,,109,100,19,,19,
赤平市,486,486,324,,,60,102,,,,
滝川市,1252,1170,485,,,264,421,82,,82,
砂川市,622,622,204,4,6,,408,,,,
歌志内市,60,60,,,,60,,,,,
奈井江町,96,96,,,,50,46,,,,
上砂川町,,,,,,,,,,,
浦臼町,19,,,,,,,19,,19,
新十津川町,219,200,,,,200,,19,,19,
雨竜町,108,108,,,,108,,,,,
深川市,1186,1186,509,4,,407,266,,,,
妹背牛町,,,,,,,,,,,
秩父別町,,,,,,,,,,,
北竜町,,,,,,,,,,,
沼田町,,,,,,,,,,,
富良野市,586,567,170,4,,140,253,19,,19,
上富良野町,73,44,,,,,44,29,,29,
中富良野町,35,35,,,,,35,,,,
南富良野町,,,,,,,,,,,
占冠村,,,,,,,,,,,
士別市,199,199,,,,20,179,,,,
名寄市,716,678,55,4,,211,408,38,4,34,
和寒町,30,30,,,,,30,,,,
剣淵町,,,,,,,,,,,
下川町,42,42,,,,30,12,,,,
美深町,64,64,,,,30,34,,,,
音威子府村,19,,,,,,,19,8,11,
中川町,10,,,,,,,10,,10,
共和町,,,,,,,,,,,
岩内町,297,240,54,,,90,96,57,10,47,
泊村,,,,,,,,,,,
神恵内村,,,,,,,,,,,
島牧村,6,,,,,,,6,,6,
寿都町,19,,,,,,,19,,19,
黒松内町,40,40,,,,,40,,,,
蘭越町,135,120,,,,120,,15,,15,
ニセコ町,19,,,,,,,19,16,3,
真狩村,,,,,,,,,,,
留寿都村,,,,,,,,,,,
喜茂別町,,,,,,,,,,,
京極町,139,120,120,,,,,19,,19,
倶知安町,258,234,60,2,,,172,24,,24,
積丹町,,,,,,,,,,,
古平町,18,,,,,,,18,,18,
仁木町,19,,,,,,,19,,19,
余市町,382,357,185,,,52,120,25,,25,
