ésãÊí¨ë∫ï éîó{ì™êîÅEéîó{é{ê›êî,ãçÇÃéîó{ì™êî(ëçåv)(ïΩê¨ÇQÇVîNÇXåéññéûì_),ÉzÉãÉXÉ^ÉCÉìéÌ,ÉWÉÉÅ[ÉWÅ[éÌ,ì˚ópéÌ,"åéGéÌ
Åiì˜êÍópéÌ
Å~ì˚ópéÌÅj",çïñ—òaéÌ,äåñ—òaéÌ,ì˙ñ{íZäpéÌ,ñ≥äpòaéÌ,"çïñ—òaéÌ
Å~
äåñ—òaéÌ",òaãçä‘åéGéÌ,ì˜êÍópéÌ,ÇªÇÃëº,êlå˚,[!!íçñ⁄!!]ãçÇÃéîàÁì™êîÇÃêlå˚î‰,ãçÇÃéîó{é{ê›êî(ëçåv)(ïΩê¨ÇQÇVîNÇXåéññéûì_),1é{ê›Ç†ÇΩÇËÇÃéîàÁêî
éDñyés,1023,556,0,0,0,0,0,0,0,0,0,0,0,1936016,0.000528405,17,60.17647059
îüäŸés,676,460,,,,142,54,,,,,,,271479,0.002490064,25,27.04
è¨íMés,,,,,,,,,,,,,,125028,0,1,0
àÆêÏés,3353,2057,31,,660,586,,,,,,,,347207,0.009657063,40,83.825
é∫óñés,296,242,,,,54,,,,,,,,89799,0.003296251,4,74
ã˙òHés,19662,16806,56,37,1400,840,,,,,,350,,178394,0.110216711,130,151.2461538
ë—çLés,26925,18303,116,69,6926,1503,,,,,,,,168753,0.159552719,107,251.635514
ñkå©és,10858,9063,61,,284,1424,,,,,,,,122198,0.088855791,118,92.01694915
ä‚å©ëÚés,1023,971,9,,,36,,,,,,,,86054,0.011887884,22,46.5
ñ‘ëñés,5490,3046,,11,66,2293,,,,,,,,37740,0.145468998,49,112.0408163
óØñGés,295,,,,,295,,,,,,,,22957,0.012850111,3,98.33333333
ìœè¨ñqés,1111,728,,,,371,,,,,,,,174064,0.00638271,16,69.4375
ítì‡és,18753,14608,,31,2358,1667,,,,,,,,36827,0.50921878,150,125.02
î¸âSés,,,,,,,,,,,,,,23984,0,2,0
à∞ï és,729,717,,,,,,,,,,,,15404,0.04732537,9,81
ç]ï és,4976,4219,22,9,11,696,,,,,,,,120225,0.041389062,73,68.16438356
ê‘ïΩés,156,,,,,,,,,,,,,11383,0.013704647,3,52
ñ‰ï és,24757,22627,38,52,1600,440,,,,,,,,23644,1.047073253,115,215.2782609
émï és,17099,16104,21,34,387,547,,,,,,,,20676,0.826997485,64,267.171875
ñºäÒés,4506,4364,,,33,100,,,,,,,,29099,0.154850682,40,112.65
éOä}és,254,147,,,,64,,,,,,,,9519,0.026683475,5,50.8
ç™é∫és,11623,11177,7,31,46,236,,,,,,,,28050,0.414367201,104,111.7596154
êÁçŒés,6298,5552,20,26,645,55,,,,,,,,95532,0.065925554,53,118.8301887
ëÍêÏés,1143,,,,,308,,,,,,,,41924,0.02726362,13,87.92307692
çªêÏés,346,,,,,,,,,,,,,18112,0.019103357,3,115.3333333
ê[êÏés,6870,3208,,,2975,675,,,,,,,,22278,0.308375976,24,286.25
ïxó«ñÏés,4881,4659,,,22,188,,,,,,,,23324,0.209269422,34,143.5588235
ìoï és,2417,1559,,33,,811,,,,,,,,50571,0.04779419,18,134.2777778
åbíÎés,2222,2051,8,,13,133,,,,,,,,68956,0.032223447,25,88.88
à…íBés,3435,2110,18,105,21,1181,,,,,,,,35802,0.095944361,55,62.45454545
ñkçLìáés,1390,976,,,12,209,,,,,,,,59629,0.023310805,13,106.9230769
êŒéÎés,737,426,,,,307,,,,,,,,59362,0.01241535,21,35.0952381
ñkìlés,2306,677,,,1249,349,21,,,,,,,47967,0.048074718,29,79.51724138
ìñï í¨,674,,,,,527,,,,,,,,17251,0.039070199,16,42.125
èºëOí¨,551,,,,,512,,,,,,,,8251,0.066779784,14,39.35714286
ímì‡í¨,124,88,,,,,,,,,,,,4797,0.025849489,14,8.857142857
ñÿå√ì‡í¨,1049,264,,,,29,528,,,,,,,4683,0.224001708,21,49.95238095
éµî—í¨,12145,9572,,,2118,366,44,,,,,,,28785,0.42192114,52,233.5576923
