老人施設数、定員数、在所者数,老人福祉施設数（所）(2013年),老人福祉施設数（所）(2014年),養護老人ホーム数（所）(2013年),養護老人ホーム数（所）(2014年),養護老人ホーム定員数（人）(2013年),養護老人ホーム定員数（人）(2014年),養護老人ホーム在所者数（人）(2013年),養護老人ホーム在所者数（人）(2014年),介護老人福祉施設数（所）(2013年),介護老人福祉施設数（所）(2014年),介護老人福祉施設定員数（人）(2013年),介護老人福祉施設定員数（人）(2014年),軽費老人ホーム数（所）(2013年),軽費老人ホーム数（所）(2014年),軽費老人ホーム定員数（人）(2013年),軽費老人ホーム定員数（人）(2014年),軽費老人ホーム在所者数（人）(2013年),軽費老人ホーム在所者数（人）(2014年),老人福祉センター数（所）(2013年),老人福祉センター数（所）(2014年),老人介護支援センター数（所）(2013年),老人憩の家数（所）(2014年),有料老人ホーム数（所）(2013年),有料老人ホーム数（所）(2014年),有料老人ホーム定員数（人）(2013年),有料老人ホーム定員数（人）(2014年),有料老人ホーム在所者数（人）(2013年),有料老人ホーム在所者数（人）(2014年),その他の社会福祉施設等数（所）(2013年),その他の社会福祉施設等数（所）(2014年),老人ホーム数（所）(2013年)
岡山市北区,10,12,2,3,130,180,104,177,14,15,920,920,6,7,290,340,279,329,2,2,6,4,29,30,943,1029,794,863,34,35,***
岡山市中区,7,7,1,1,50,50,39,39,4,4,318,318,5,5,209,209,204,202,1,1,4,1,11,10,438,369,383,343,14,13,***
岡山市東区,6,6,1,1,80,80,76,80,7,7,380,380,5,5,155,155,120,152,0,0,2,2,10,10,314,314,275,282,12,12,***
岡山市南区,4,5,0,0,0,0,0,0,7,7,400,400,4,5,182,220,179,217,0,0,7,3,13,14,335,365,305,328,13,14,***
倉敷市,16,17,2,2,180,180,177,177,17,22,"1,468","1,550",10,11,506,521,494,510,4,4,0,36,51,62,"2,067",1998,"1,643","1,968",57,68,44
津山市,8,8,2,2,140,140,110,108,7,11,588,648,5,5,250,250,250,242,1,1,0,2,11,9,359,217,324,272,17,15,17
玉野市,4,4,1,1,50,50,32,36,5,6,372,352,2,2,78,78,74,75,1,1,0,0,2,3,43,59,53,51,2,3,7
笠岡市,6,6,1,1,60,60,44,47,3,4,280,380,4,4,190,190,181,175,1,1,0,0,2,4,40,70,38,71,3,5,9
井原市,4,4,1,1,50,50,36,37,3,4,220,290,2,2,70,70,70,70,1,1,0,1,5,4,159,150,153,141,5,4,9
総社市,5,5,1,1,50,50,47,50,5,7,370,370,3,3,60,60,58,59,1,1,0,0,10,10,239,146,207,182,11,11,9
高梁市,6,5,2,2,100,100,75,75,5,7,370,370,3,3,75,75,47,47,1,0,4,2,1,1,28,28,10,26,4,4,9
新見市,2,1,0,0,0,0,0,0,3,4,230,320,2,1,45,15,40,13,0,0,1,4,0,0,0,0,0,0,1,1,6
備前市,3,3,2,2,100,50,99,99,4,4,230,210,1,1,52,102,49,51,0,0,0,2,5,6,77,122,67,114,7,8,8
瀬戸内市,2,2,1,1,50,50,31,35,4,5,300,300,1,1,15,15,13,13,0,0,3,2,4,4,46,46,41,45,5,5,5
赤磐市,3,3,0,0,0,0,0,0,4,5,289,289,2,2,50,50,48,47,1,1,0,0,4,3,108,33,98,77,5,4,6
真庭市,7,7,1,1,60,60,51,47,6,7,420,415,3,3,110,110,99,100,3,3,4,3,0,1,0,21,0,17,4,5,9
美作市,6,6,1,1,60,60,60,60,4,4,190,190,3,3,50,50,34,50,2,2,0,1,1,1,12,12,11,11,5,4,8
浅口市,2,2,0,0,0,0,0,0,2,2,160,160,0,0,0,0,0,0,2,2,0,1,1,1,13,0,22,17,2,2,2
和気郡和気町,4,4,1,1,50,50,49,47,2,2,150,150,2,2,45,45,42,43,1,1,0,0,4,3,116,88,90,74,5,4,5
都窪郡早島町,0,0,0,0,0,0,0,0,1,1,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
浅口郡里庄町,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,62,33,28,37,3,3,0
小田郡矢掛町,2,2,0,0,0,0,0,0,1,1,70,50,1,1,15,15,15,12,1,1,0,0,3,1,48,30,37,29,4,2,3
真庭郡新庄村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苫田郡鏡野町,2,3,1,1,50,50,49,46,2,2,86,86,0,0,0,0,0,0,1,2,0,5,1,1,11,11,5,10,1,1,3
勝田郡勝央町,1,0,0,0,0,0,0,0,2,1,130,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
勝田郡奈義町,1,1,0,0,0,0,0,0,1,1,80,60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
英田郡西粟倉村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
久米郡久米南町,1,1,0,0,0,0,0,0,1,2,55,105,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
美咲町,3,3,1,1,60,60,58,59,2,,130,110,1,1,30,30,29,29,1,1,0,3,0,0,0,0,0,0,2,2,4
加賀郡吉備中央町,3,3,0,0,0,0,0,0,3,,220,220,1,1,42,42,37,38,2,2,0,0,0,0,0,0,0,0,1,1,4
