"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
岡山市立足守小学校,28,27,28,31,38,34,99,87,186,13,9,3
岡山市立伊島小学校,157,153,142,138,137,119,437,409,846,38,33,7
岡山市立中山小学校,87,98,119,77,116,123,320,300,620,50,24,7
岡山市立御南小学校,138,145,133,140,143,130,400,429,829,22,29,4
岡山市立大元小学校,171,193,207,186,158,171,566,520,"1,086",42,38,6
岡山市立野谷小学校,30,28,18,22,23,22,67,76,143,9,8,2
岡山市立鯉山小学校,30,38,32,33,38,45,122,94,216,7,9,2
岡山市立岡南小学校,79,73,68,79,66,76,230,211,441,28,17,4
岡山市立石井小学校,63,75,57,57,64,49,200,165,365,19,16,3
岡山市立三門小学校,42,47,38,38,39,44,131,117,248,26,12,4
岡山市立蛍明小学校,17,21,18,20,8,22,42,64,106,3,8,2
岡山市立清輝小学校,14,19,15,15,19,18,49,51,100,18,9,3
岡山市立福渡小学校,11,9,11,11,6,9,28,29,57,3,7,1
岡山市立建部小学校,18,21,19,19,23,30,74,56,130,9,8,2
岡山市立竹枝小学校,11,7,5,9,4,4,17,23,40,5,6,2
岡山市立牧石小学校,41,47,42,45,57,59,156,135,291,13,14,2
岡山市立大野小学校,82,65,76,82,77,69,238,213,451,16,17,3
岡山市立鹿田小学校,174,158,143,163,129,143,469,441,910,39,33,7
岡山市立津島小学校,125,142,140,139,130,154,455,375,830,22,28,4
岡山市立加茂小学校,37,42,43,48,32,41,123,120,243,9,12,2
岡山市立馬屋上小学校,2,1,1,1,7,6,7,11,18,2,4,1
岡山市立御野小学校,95,102,95,105,92,104,318,275,593,20,22,4
岡山市立西小学校,190,199,207,205,208,211,645,575,1220,38,41,6
岡山市立平津小学校,40,32,33,34,35,40,124,90,214,7,9,2
岡山市立吉備小学校,182,188,179,178,175,174,593,483,1076,32,36,5
岡山市立桃丘小学校,32,37,37,29,34,34,107,96,203,13,10,3
岡山市立陵南小学校,148,146,160,145,127,140,429,437,866,42,31,7
岡山市立馬屋下小学校,19,20,26,22,15,18,51,69,120,7,8,2
岡山市立御津小学校,31,31,28,19,23,25,76,81,157,11,8,2
岡山市立五城小学校,7,8,10,7,12,6,23,27,50,0,6,0
岡山市立御津南小学校,31,22,21,23,23,20,71,69,140,16,9,3
岡山市立庄内小学校,101,99,96,106,105,109,308,308,616,24,22,4
岡山市立岡山中央小学校,154,151,175,150,128,161,475,444,919,60,35,10
岡山市立横井小学校,146,159,148,167,146,140,450,456,906,26,30,4
岡山市立旭東小学校,10,17,22,12,25,13,58,41,99,10,8,2
岡山市立旭操小学校,92,76,80,88,60,84,248,232,480,17,19,3
岡山市立高島小学校,161,163,179,176,153,169,493,508,1001,51,36,7
岡山市立竜之口小学校,107,97,87,110,89,105,306,289,595,33,23,5
岡山市立幡多小学校,152,160,176,152,143,148,455,476,931,52,35,8
岡山市立三勲小学校,103,103,98,98,100,90,342,250,592,30,23,5
岡山市立財田小学校,96,80,100,90,77,86,260,269,529,27,21,4
岡山市立宇野小学校,134,160,156,149,134,161,435,459,894,39,32,6
岡山市立平井小学校,131,110,122,126,112,108,362,347,709,40,26,6
岡山市立富山小学校,121,125,133,118,116,118,380,351,731,28,26,4
岡山市立操南小学校,111,101,104,98,104,92,314,296,610,30,24,5
岡山市立操明小学校,100,101,89,92,90,95,284,283,567,20,21,3
岡山市立旭竜小学校,27,32,22,24,31,25,90,71,161,7,8,2
岡山市立可知小学校,79,64,91,79,100,89,259,243,502,19,19,3
岡山市立西大寺南小学校,38,42,30,48,27,44,126,103,229,8,12,2
岡山市立開成小学校,26,21,22,17,18,25,65,64,129,4,8,2
岡山市立大宮小学校,4,2,0,6,6,8,10,16,26,0,4,0
岡山市立太伯小学校,24,29,27,39,33,37,93,96,189,7,8,2
岡山市立古都小学校,35,37,32,41,44,41,110,120,230,8,11,2
岡山市立角山小学校,6,7,6,8,3,9,21,18,39,0,4,0
岡山市立西大寺小学校,87,90,61,90,78,89,260,235,495,14,19,3
岡山市立豊小学校,39,39,43,40,39,44,110,134,244,10,13,2
岡山市立芥子山小学校,151,149,153,157,169,200,489,490,979,50,35,7
岡山市立城東台小学校,41,44,49,56,50,53,145,148,293,15,15,3
岡山市立幸島小学校,13,14,16,18,16,18,44,51,95,4,7,1
岡山市立御休小学校,11,30,26,15,32,25,82,57,139,7,8,2
岡山市立江西小学校,87,98,97,101,98,93,304,270,574,39,23,5
岡山市立千種小学校,35,27,21,30,24,22,73,86,159,3,7,1
岡山市立雄神小学校,13,10,19,10,13,12,44,33,77,5,7,1
岡山市立朝日小学校,2,8,10,7,9,14,19,31,50,2,7,1
岡山市立浮田小学校,36,36,30,26,36,20,84,100,184,0,8,0
岡山市立平島小学校,47,37,36,28,46,37,115,116,231,11,10,2
岡山市立政田小学校,36,39,44,35,38,36,105,123,228,9,10,2
岡山市立甲浦小学校,37,45,30,38,44,44,118,120,238,15,13,3
岡山市立芳田小学校,81,90,94,92,97,85,281,258,539,22,22,4
岡山市立浦安小学校,76,84,86,93,99,104,268,274,542,27,22,4
岡山市立小串小学校,3,3,10,3,4,5,10,18,28,2,4,1
岡山市立福田小学校,144,131,137,151,114,115,406,386,792,34,28,5
岡山市立妹尾小学校,83,96,91,87,101,85,289,254,543,25,22,4
岡山市立曽根小学校,21,23,28,22,26,31,80,71,151,10,8,2
岡山市立福島小学校,58,64,57,67,65,51,194,168,362,20,15,3
岡山市立芳泉小学校,216,10,8,250,222,235,500,441,941,57,32,8
岡山市立芳泉小学校　ひばり分校,0,222,254,0,0,0,224,252,476,0,14,0
岡山市立興除小学校,42,38,27,24,31,36,96,102,198,14,10,3
