世帯構成,3世代世帯数,65歳以上のみ_単独世帯数,3世代世帯割合（%）(3世代世帯数/総世帯数),65歳以上のみ_単独世帯割合（%）(65歳以上のみ_単独世帯数/総世帯数)
井原市井原町_4290,237,247,12.39539749,12.91841004
井原市下稲木町_4621,46,21,15.59322034,7.118644068
井原市下出部町_4568,48,26,12.6984127,6.878306878
井原市下出部町_4592,9,9,13.84615385,13.84615385
井原市下出部町１丁目_4581,12,11,9.836065574,9.016393443
井原市下出部町２丁目_4594,12,21,10.81081081,18.91891892
井原市岩倉町_4603,53,20,25,9.433962264
井原市高屋町_4099,95,71,15.4723127,11.56351792
井原市高屋町１丁目_4624,17,7,11.40939597,4.697986577
井原市高屋町２丁目_4618,23,12,9.913793103,5.172413793
井原市高屋町３丁目_4612,27,14,12.85714286,6.666666667
井原市高屋町４丁目_4606,9,6,12.32876712,8.219178082
井原市高屋町５丁目_4620,15,8,14.70588235,7.843137255
井原市笹賀町_4503,59,26,16.48044693,7.262569832
井原市笹賀町１丁目_4570,12,4,12.76595745,4.255319149
井原市笹賀町２丁目_4565,13,8,15.11627907,9.302325581
井原市七日市町_4524,66,51,13.17365269,10.17964072
井原市上稲木町_4661,38,11,30.89430894,8.943089431
井原市上出部町_4537,82,57,12.33082707,8.571428571
井原市上出部町四季が丘_4588,8,2,6.4,1.6
井原市神代町_4257,35,25,19.55307263,13.96648045
井原市西江原町_4047,236,169,13.69704005,9.808473593
井原市西方町_4614,30,15,15.38461538,7.692307692
井原市青野町_3764,45,17,27.77777778,10.49382716
井原市大江町_4608,117,70,17.64705882,10.55806938
井原市東江原町_4270,117,62,16.59574468,8.794326241
井原市美星町宇戸_3140,10,7,27.02702703,18.91891892
井原市美星町宇戸谷_2932,29,9,31.52173913,9.782608696
井原市美星町烏頭_3045,8,8,17.0212766,17.0212766
井原市美星町黒忠加谷上〜加谷下_3106,16,5,41.02564103,12.82051282
井原市美星町黒忠向川西〜向川東_3186,8,5,28.57142857,17.85714286
井原市美星町黒忠城平_3006,15,9,24.19354839,14.51612903
井原市美星町黒忠八日市南_3192,14,7,20.89552239,10.44776119
井原市美星町黒忠妙見原_3008,7,6,21.875,18.75
井原市美星町黒木_3812,9,7,19.14893617,14.89361702
井原市美星町三山宮迫〜八幡_3135,23,16,19.32773109,13.44537815
井原市美星町三山大元_3080,21,10,30,14.28571429
井原市美星町三山谷下〜谷上_3158,20,13,25.97402597,16.88311688
井原市美星町上高末_2981,4,3,16.66666667,12.5
井原市美星町星田金野〜谷山_3341,23,16,17.1641791,11.94029851
井原市美星町星田平松東〜平松西_3289,12,13,19.35483871,20.96774194
井原市美星町星田栩木_3531,10,7,17.54385965,12.28070175
井原市美星町西水砂_3638,1,0,50,0
井原市美星町西水砂平谷〜熊石上_3402,36,10,36,10
井原市美星町大倉小宇内〜木舟_3347,6,3,25,12.5
井原市美星町大倉布東_3385,2,1,33.33333333,16.66666667
井原市美星町大倉布東団地〜延ケ瀬_3366,5,2,20,8
井原市美星町大倉野呂〜上組_3228,10,3,23.25581395,6.976744186
井原市美星町東水砂後組_3526,1,2,20,40
井原市美星町東水砂上堂〜大和_3548,9,4,32.14285714,14.28571429
井原市美星町東水砂東前〜米田_3618,4,8,12.90322581,25.80645161
井原市美星町東水砂毛野_3691,8,3,40,15
井原市美星町明治絵具那〜野田打場_2991,10,10,15.87301587,15.87301587
井原市美星町明治三田_2911,8,8,12.6984127,12.6984127
井原市美星町明治本谷上〜本谷下_2821,1,2,8.333333333,16.66666667
井原市美星町明治林〜下川_2905,16,7,30.18867925,13.20754717
井原市稗原町_3978,7,4,22.58064516,12.90322581
井原市芳井町井山仁郷_3588,2,0,33.33333333,0
井原市芳井町宇戸川後谷・日向・小谷・野畑_3581,1,3,7.692307692,23.07692308
井原市芳井町宇戸川新田・峠村北_3843,2,3,13.33333333,20
井原市芳井町宇戸川鳥越・沖・鳴・ハイツ_3785,6,0,20.68965517,0
井原市芳井町宇戸川峠村中・峠村南_3938,1,1,33.33333333,33.33333333
井原市芳井町宇戸川北畦西・北畦中東_3569,0,2,0,16.66666667
井原市芳井町下鴫下崎_3233,1,2,12.5,25
井原市芳井町下鴫花田・橋・川町の一部_3210,7,9,29.16666667,37.5
井原市芳井町下鴫山戸東・山戸西_3131,1,7,7.142857143,50
井原市芳井町下鴫四倉・川町の一部_3124,2,6,7.407407407,22.22222222
井原市芳井町下鴫小原_3153,1,1,16.66666667,16.66666667
井原市芳井町下鴫松谷_3243,1,2,25,50
井原市芳井町花滝石田・矢ノ目下・矢ノ目上_3369,4,4,18.18181818,18.18181818
井原市芳井町花滝大丸_3395,1,1,25,25
井原市芳井町花滝阜里・房地_3162,2,2,20,20
井原市芳井町花滝名越上・名越下_3403,2,3,22.22222222,33.33333333
井原市芳井町花滝鳴谷_3209,2,2,14.28571429,14.28571429
井原市芳井町花滝野呂西・野呂中・野呂東_3357,4,5,23.52941176,29.41176471
井原市芳井町梶江梶江上・梶江裏・梶江西_4232,7,2,41.17647059,11.76470588
井原市芳井町梶江梶江中・梶江下１・梶江下_4254,5,1,23.80952381,4.761904762
井原市芳井町梶江向井・相谷上・相谷下_4148,10,6,19.23076923,11.53846154
井原市芳井町梶江飯名上・飯名下_4241,9,3,32.14285714,10.71428571
井原市芳井町吉井一心下・矢谷中・矢谷西_4161,10,1,27.02702703,2.702702703
井原市芳井町吉井下耕地西_4083,1,2,4.545454545,9.090909091
