"中学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
#N/A,120,119,120,158,201,359,0,9,0
岡山市北区足守中学校,44,41,47,66,66,132,7,7,2
岡山市北区岡輝中学校,78,100,103,145,136,281,18,12,4
岡山市北区中山中学校,181,212,178,270,301,571,14,19,3
岡山市北区石井中学校,124,128,147,217,182,399,8,13,2
岡山市北区高松中学校,152,159,171,244,238,482,10,15,2
岡山市北区建部中学校,28,33,44,50,55,105,4,6,2
岡山市北区御南中学校,307,290,307,513,391,904,23,30,4
岡山市北区京山中学校,311,295,261,449,418,867,33,29,5
岡山市北区岡北中学校,166,164,148,245,233,478,12,16,2
#N/A,72,72,77,76,145,221,0,6,0
岡山市北区吉備中学校,275,294,302,447,424,871,19,29,3
岡山市北区岡山中央中学校,102,111,109,157,165,322,23,14,5
岡山市北区桑田中学校,257,219,259,391,344,735,24,27,5
岡山市北区御津中学校,65,61,74,121,79,200,14,9,3
岡山市北区香和中学校,150,126,165,232,209,441,11,15,2
岡山市中区竜操中学校,317,339,336,489,503,992,26,34,5
岡山市中区操山中学校,196,205,194,303,292,595,31,23,5
岡山市中区高島中学校,153,189,196,278,260,538,15,19,3
#N/A,2,11,16,18,11,29,0,3,0
岡山市中区操南中学校,267,264,255,413,373,786,25,27,4
岡山市中区東山中学校,134,119,123,200,176,376,12,12,2
岡山市中区富山中学校,120,101,115,164,172,336,12,12,2
岡山市東区旭東中学校,274,319,318,486,425,911,28,30,4
岡山市東区上南中学校,35,59,55,87,62,149,5,7,2
岡山市東区山南中学校,62,81,64,106,101,207,5,8,2
岡山市東区西大寺中学校,166,184,196,278,268,546,15,20,3
岡山市東区瀬戸中学校,128,123,139,205,185,390,12,13,2
岡山市東区上道中学校,152,141,150,240,203,443,9,14,2
岡山市南区光南台中学校,49,59,45,80,73,153,8,8,2
岡山市南区妹尾中学校,102,99,111,163,149,312,9,12,2
岡山市南区福南中学校,147,151,165,218,245,463,20,16,4
岡山市南区芳泉中学校,326,328,311,493,472,965,36,32,5
岡山市南区芳田中学校,178,195,151,265,259,524,12,18,2
岡山市南区興除中学校,152,142,137,223,208,431,9,14,2
岡山市南区灘崎中学校,131,125,139,213,182,395,15,15,3
岡山市南区藤田中学校,116,122,117,181,174,355,15,13,3
岡山市南区福浜中学校,209,258,261,361,367,728,17,25,3
岡山市南区福田中学校,114,132,141,204,183,387,7,14,2
#N/A,120,120,117,183,174,357,0,9,0
倉敷市東中学校,245,232,233,379,331,710,21,25,4
倉敷市西中学校,297,298,387,487,495,982,29,34,5
倉敷市南中学校,337,386,368,580,511,1091,36,37,6
倉敷市北中学校,212,191,239,339,303,642,22,23,4
倉敷市多津美中学校,176,187,214,299,278,577,16,20,3
倉敷市新田中学校,254,237,231,369,353,722,16,25,3
倉敷市東陽中学校,236,245,247,359,369,728,17,24,3
倉敷市庄中学校,160,126,122,201,207,408,19,17,4
倉敷市倉敷第一中学校,264,301,275,417,423,840,23,29,4
岡山市南区福田中学校,206,222,231,326,333,659,17,23,3
倉敷市福田南中学校,167,157,167,236,255,491,13,17,2
倉敷市水島中学校,71,79,78,121,107,228,19,9,3
倉敷市連島中学校,187,188,197,294,278,572,25,22,4
倉敷市連島南中学校,107,105,140,180,172,352,8,12,2
倉敷市味野中学校,123,135,148,216,190,406,18,16,3
倉敷市下津井中学校,22,30,28,46,34,80,2,5,2
倉敷市児島中学校,161,190,166,273,244,517,19,20,4
倉敷市琴浦中学校,187,160,182,270,259,529,17,20,3
