住民基本台帳人口・世帯数及び人口動態,人口(2015年),人口(2010年),人口(2005年),増減(2005年～2015年),増減比率(2005年～2015年),増減(2005年～2010年),増減比率(2005年～2010年),面積(km^2),人口密度(2010年),人口密度(2015年),人口(日本人)(2015年),人口(外国人)(2015年),男性人口(日本人)(2015年),男性人口(外国人)(2015年),男性人口(計)(2015年),女性人口(日本人)(2015年),女性人口(外国人)(2015年),女性人口(計)(2015年）,世帯数(日本人),世帯数(外国人),世帯数(複数国籍),世帯数計,増減数(日本人)(2015年),増減数(外国人)(2015年),増減数(計)(2015年),出生(日本人)(2015年),出生(外国人)(2015年),出生(計)(2015年),死亡(日本人)(2015年),死亡(外国人)(2015年),死亡(計)(2015年),自然増減(2015年),自然増減比率(2015年),転入(日本人)(2015年),転入(外国人)(2015年),転入(計)(2015年),転出(日本人)(2015年),転出(外国人)(2015年),転出(計)(2015年),転入出増減(2015年),転入出増減比率(2015年),その他増(日本人)(2015年),その他増(外国人)(2015年),その他増(計)(2015年),その他減(日本人)(2015年),その他減(外国人)(2015年),その他減(計)(2015年)
岡山市,706027,688996,678163,27864,4.108746717,10833,1.597403574,789.9,872.2572478,893.8182048,696235,9792,334740,4513,339253,361495,5279,366774,306548,5881,1820,314249,1060,395,1455,6395,58,6453,6407,46,6453,0,0,32936,3846,36782,31853,2494,34347,2435,0.34488766,59,12,71,70,981,1051
倉敷市,483722,474147,468510,15212,3.246889074,5637,1.203176026,354.7,1336.755004,1363.749648,478584,5138,233924,2131,236055,244660,3007,247667,198131,2909,1065,202105,397,-23,374,4511,25,4536,4454,21,4475,61,0.012620307,12166,1397,13563,11816,797,12613,950,0.196393796,28,0,28,38,627,665
津山市,104717,107412,110181,-5464,-4.959112733,-2769,-2.513137474,506.4,212.1090047,206.7871248,103988,729,49698,289,49987,54290,440,54730,44059,384,221,44664,-826,-14,-840,870,4,874,1268,0,1268,-394,-0.37325805,2853,136,2989,3300,92,3392,-403,-0.384846778,34,2,36,15,64,79
玉野市,62863,65845,68823,-5960,-8.659895674,-2978,-4.327041832,103.6,635.5694981,606.7857143,62433,430,30340,142,30482,32093,288,32381,27627,264,86,27977,-781,10,-771,411,1,412,836,0,836,-424,-0.666310463,1326,136,1462,1673,61,1734,-272,-0.432686954,16,3,19,25,69,94
笠岡市,51907,54728,57766,-5859,-10.14264446,-3038,-5.25914898,136,402.4117647,381.6691176,51568,339,24672,122,24794,26896,217,27113,22251,228,76,22555,-636,18,-618,313,0,313,731,0,731,-418,-0.795811518,1153,210,1363,1373,139,1512,-149,-0.287051843,4,0,4,2,53,55
井原市,42787,44872,46713,-3926,-8.404512662,-1841,-3.941087064,243.4,184.3549712,175.788825,42334,453,20299,90,20389,22035,363,22398,16237,367,58,16662,-606,-43,-649,221,0,221,649,0,649,-428,-0.985357768,831,282,1113,1010,229,1239,-126,-0.294481969,3,0,3,2,96,98
総社市,67867,66486,66827,1040,1.556257201,-341,-0.510272794,212,313.6132075,320.1273585,67141,726,32698,297,32995,34443,429,34872,25126,432,126,25684,104,-2,102,546,0,546,705,0,705,-159,-0.234634398,2153,172,2325,1915,143,2058,267,0.393416535,27,52,79,2,83,85
高梁市,32948,34482,37488,-4540,-12.11054204,-3006,-8.018565941,547,63.03839122,60.23400366,32364,584,15394,327,15721,16970,257,17227,14256,480,68,14804,-600,-14,-614,173,0,173,579,0,579,-406,-1.209701448,917,187,1104,1122,194,1316,-212,-0.643438145,15,0,15,4,7,11
新見市,31991,34432,36821,-4830,-13.11751446,-2389,-6.488145352,793.3,43.40350435,40.32648431,31756,235,15234,78,15312,16522,157,16679,12776,165,48,12989,-544,6,-538,172,0,172,508,0,508,-336,-1.032924467,538,103,641,749,92,841,-200,-0.625175831,7,1,8,4,6,10
備前市,37050,39038,41919,-4869,-11.615258,-2881,-6.872778454,258.2,151.1928737,143.493416,36498,552,17479,324,17803,19019,228,19247,15540,398,73,16011,-513,20,-493,178,1,179,517,3,520,-341,-0.908291825,864,237,1101,1038,173,1211,-110,-0.296896086,5,0,5,5,42,47
瀬戸内市,38524,39092,40295,-1771,-4.395086239,-1203,-2.98548207,125.5,311.4900398,306.9641434,38118,406,18260,121,18381,19858,285,20143,14837,282,61,15180,-251,21,-230,234,0,234,473,3,476,-242,-0.62445167,1139,476,1615,1159,376,1535,80,0.207662756,15,0,15,7,76,83
赤磐市,44827,44921,45470,-643,-1.414119199,-549,-1.207389488,209.4,214.5224451,214.0735435,44586,241,21394,90,21484,23192,151,23343,17506,123,74,17703,-137,-20,-157,325,0,325,491,0,491,-166,-0.369020096,1288,70,1358,1270,70,1340,18,0.040154371,13,0,13,2,20,22
真庭市,48544,51164,54150,-5606,-10.35272392,-2986,-5.514312096,828.4,61.76243361,58.59971028,48343,201,23119,50,23169,25224,151,25375,17696,109,59,17864,-688,10,-678,326,1,327,794,3,797,-470,-0.954857584,819,63,882,1037,48,1085,-203,-0.418177324,1,0,1,3,3,6
