年齢階級別人口（総計）,総数（人）(男女合計),0～4歳（人）,5～9歳（人）,10～14歳（人）,15～19歳（人）,20～24歳（人）,25～29歳（人）,30～34歳（人）,35～39歳（人）,40～44歳（人）,45～49歳（人）,50～54歳（人）,55～59歳（人）,60～64歳（人）,65～69歳（人）,70～74歳（人）,75～79歳（人）,80～84歳（人）,85～89歳（人）,90～94歳（人）,95～99歳（人）,100歳以上
岡山市北区,294407,13450,13320,13138,14102,17237,17798,19134,20737,24130,19835,17801,16521,16618,20236,15637,12082,10933,7401,3248,892,157
岡山市中区,146056,7171,7324,7195,7351,7062,7833,9189,10112,11988,9861,8862,8175,8484,10768,8126,6228,5289,3144,1439,385,70
岡山市東区,96643,3648,4187,4731,5323,4703,4505,5063,5771,7198,6032,5802,5898,6123,7964,6485,4850,4173,2661,1146,327,53
岡山市南区,170509,7934,8203,8479,8722,8385,9075,10546,11661,14019,11368,10276,9769,10576,13161,9696,7307,5822,3565,1466,410,69
倉敷市,483970,22487,23379,23655,25190,24460,26607,28721,31409,39092,31591,27198,26090,29225,37408,29899,22810,17825,10678,4623,1379,244
津山市,103954,4400,4780,5120,5187,4862,5153,5458,6394,7233,6305,5981,6458,7012,8338,5874,5226,4672,3443,1558,433,67
玉野市,61945,2000,2110,2391,2726,2862,2882,2953,3202,4192,3467,3408,3578,4531,6194,5009,3858,3147,2122,986,280,47
笠岡市,51219,1609,1852,2032,2421,2376,2253,2357,2454,3228,3077,3178,3326,3717,4460,3541,3053,2932,2026,970,290,67
井原市,42158,1248,1564,1834,2055,1857,1744,1871,2213,2669,2544,2376,2666,3093,3540,2974,2553,2396,1815,858,250,38
総社市,67992,3046,3335,3375,3449,3458,3519,3905,4392,5058,4034,3729,4025,4363,5630,4074,3059,2701,1715,862,212,51
高梁市,32363,859,1017,1165,1548,1980,1346,1304,1468,1576,1501,1694,2100,2505,2745,2060,2199,2253,1824,912,249,58
新見市,31332,941,1072,1315,1350,1162,1202,1292,1426,1652,1389,1722,2219,2447,2738,2071,2236,2297,1701,853,207,40
備前市,36545,1063,1144,1393,1727,1760,1697,1598,1781,2221,2156,2164,2189,2667,3352,2881,2503,2118,1340,599,171,21
瀬戸内市,38252,1285,1500,1649,1862,1811,1696,1791,2153,2758,2273,2213,2365,2611,3397,2683,2099,1875,1357,648,196,30
赤磐市,44781,1852,2021,2123,2180,1871,1929,2339,2714,3169,2396,2430,2655,3253,4279,3114,2342,1965,1349,589,189,22
真庭市,47820,1627,1913,2029,2202,1864,1920,2220,2522,2595,2272,2599,3194,3841,4194,2905,3023,3100,2379,1094,270,57
美作市,29214,877,1027,1171,1227,1154,1150,1284,1422,1630,1420,1558,1930,2301,2674,1903,1885,1960,1643,765,201,32
浅口市,35360,1086,1375,1505,1695,1527,1392,1658,1872,2410,2110,1988,2073,2397,3366,2828,2192,1854,1265,570,170,27
和気町,14806,418,480,631,650,590,564,621,764,955,873,796,875,1076,1506,1161,990,855,606,293,88,14
早島町,12293,616,655,632,631,511,582,709,846,1016,757,588,624,729,1058,788,580,460,315,132,29,8
里庄町,11159,460,528,530,540,546,589,568,643,820,668,596,680,747,890,780,546,542,307,135,38,6
矢掛町,14794,439,502,591,697,667,566,654,769,938,821,760,928,1095,1346,1069,908,898,669,339,114,24
新庄村,961,27,31,40,43,38,27,34,47,41,41,52,74,66,73,72,64,85,52,30,12,3
鏡野町,13609,516,552,559,580,540,608,685,747,790,617,613,960,1080,1206,873,753,862,679,310,65,14
勝央町,11305,522,536,506,510,506,603,689,723,720,552,609,756,797,863,598,563,539,444,178,56,10
奈義町,6224,275,237,241,330,419,355,313,312,318,275,303,359,454,540,372,315,325,292,135,32,6
西粟倉村,1519,61,67,59,50,62,69,82,80,70,64,73,114,128,134,58,77,128,83,35,12,2
久米南町,5115,109,155,209,209,185,171,178,213,236,235,282,340,396,526,395,370,384,310,132,46,6
美咲町,15209,474,555,640,617,546,578,698,744,918,743,767,960,1192,1432,1006,1021,1027,798,363,115,15
吉備中央町,12267,327,378,427,741,492,519,523,559,622,554,657,885,954,1105,747,775,865,685,357,84,11
