年齢階級別人口（男）,総数（人）(男),0～4（歳）,5～9（歳）,10～14（歳）,15～19（歳）,20～24（歳）,25～29（歳）,30～34（歳）,35～39（歳）,40～44（歳）,45～49（歳）,50～54（歳）,55～59（歳）,60～64（歳）,65～69（歳）,70～74（歳）,75～79（歳）,80～84（歳）,85～89（歳）,90～94（歳）,95～99（歳）,100歳以上
岡山市北区,141987,6997,6966,6670,7282,8773,8768,9498,10479,12048,9869,8849,8084,8203,9699,7157,5164,4135,2410,765,148,23
岡山市中区,69137,3691,3719,3610,3614,3430,3771,4503,4935,5879,4771,4303,3951,4066,5031,3697,2658,2056,1034,336,72,10
岡山市東区,46095,1843,2113,2446,2729,2429,2218,2535,2888,3603,2953,2806,2850,2933,3759,2985,2155,1658,870,260,52,10
岡山市南区,82835,4069,4167,4394,4490,4211,4503,5243,5872,7103,5633,5045,4836,5201,6344,4514,3166,2380,1237,360,59,8
倉敷市,236065,11509,12105,12148,13015,12436,13544,14420,15774,19729,15929,13465,12898,14485,17764,14099,10336,7357,3634,1173,214,31
津山市,49634,2225,2520,2650,2604,2392,2633,2723,3264,3717,3137,2958,3151,3417,3998,2697,2215,1799,1095,374,55,10
玉野市,30069,1041,1137,1251,1441,1522,1547,1524,1704,2138,1704,1678,1731,2260,2989,2387,1759,1238,714,249,47,8
笠岡市,24517,822,942,1054,1236,1235,1171,1225,1287,1609,1510,1621,1616,1905,2172,1627,1332,1162,697,239,47,8
井原市,20106,630,807,989,1021,879,916,974,1124,1325,1298,1189,1327,1561,1751,1387,1102,968,608,203,42,5
総社市,33016,1578,1731,1766,1754,1745,1678,1983,2261,2539,2056,1816,1968,2124,2705,1955,1381,1124,601,204,38,9
高梁市,15494,431,534,626,771,1121,741,669,770,800,766,866,1068,1311,1401,921,908,879,608,244,50,9
新見市,15017,503,585,694,689,612,658,674,769,855,689,859,1131,1256,1364,947,935,916,615,222,40,4
備前市,17548,531,609,736,853,964,940,844,930,1160,1065,1081,1090,1333,1583,1317,1074,866,393,153,24,2
瀬戸内市,18266,705,808,800,949,899,815,908,1083,1387,1121,1114,1164,1251,1654,1239,944,773,454,157,38,3
赤磐市,21435,966,1029,1099,1107,915,921,1180,1358,1612,1147,1174,1248,1518,2090,1520,1088,832,446,149,33,3
真庭市,22800,828,986,1035,1096,962,1023,1137,1327,1349,1147,1308,1594,1895,2164,1302,1302,1217,786,285,46,11
美作市,13906,443,559,565,630,633,603,656,756,827,722,779,966,1171,1363,887,785,776,542,211,29,3
浅口市,17106,544,720,788,867,751,679,879,971,1218,1067,1031,1042,1138,1644,1372,1009,747,448,166,23,2
和気町,7019,215,239,324,329,314,297,316,387,495,420,389,431,508,762,535,439,344,193,66,15,1
早島町,5968,350,339,344,322,242,274,332,418,504,395,294,280,348,507,368,288,195,104,39,6,1
里庄町,5316,232,281,265,286,246,272,270,321,411,336,288,318,374,411,377,253,218,112,35,10,0
矢掛町,7038,209,248,323,345,317,301,320,409,488,402,375,469,552,662,509,407,363,233,83,21,2
新庄村,456,7,16,20,20,25,12,21,26,21,19,28,43,31,37,38,21,38,17,7,5,0
鏡野町,6497,277,293,285,312,270,296,337,394,403,304,310,458,554,619,427,322,340,225,59,9,3
勝央町,5442,277,283,266,256,258,282,356,364,379,256,298,359,393,451,286,233,224,155,48,9,1
奈義町,3079,140,115,125,177,264,227,171,167,151,141,150,180,219,275,180,132,136,90,27,3,3
西粟倉村,701,32,27,30,27,29,37,40,43,32,31,31,63,64,69,23,36,39,31,10,3,0
久米南町,2450,54,72,98,103,90,96,98,121,114,125,145,173,204,275,200,149,171,121,27,10,1
美咲町,7247,244,277,329,335,272,316,356,389,492,373,385,493,604,726,490,434,392,248,77,12,3
吉備中央町,5915,162,199,237,433,231,261,263,297,316,280,323,477,493,584,343,311,360,214,112,19,0
