年齢階級別人口（女）,総数（人）(女),0～4（歳）,5～9（歳）,10～14（歳）,15～19（歳）,20～24（歳）,25～29（歳）,30～34（歳）,35～39（歳）,40～44（歳）,45～49（歳）,50～54（歳）,55～59（歳）,60～64（歳）,65～69（歳）,70～74（歳）,75～79（歳）,80～84（歳）,85～89（歳）,90～94（歳）,95～99（歳）,100歳以上
岡山市北区,152420,6453,6354,6468,6820,8464,9030,9636,10258,12082,9966,8952,8437,8415,10537,8480,6918,6798,4991,2483,744,134
岡山市中区,76919,3480,3605,3585,3737,3632,4062,4686,5177,6109,5090,4559,4224,4418,5737,4429,3570,3233,2110,1103,313,60
岡山市東区,50548,1805,2074,2285,2594,2274,2287,2528,2883,3595,3079,2996,3048,3190,4205,3500,2695,2515,1791,886,275,43
岡山市南区,87674,3865,4036,4085,4232,4174,4572,5303,5789,6916,5735,5231,4933,5375,6817,5182,4141,3442,2328,1106,351,61
倉敷市,247905,10978,11274,11507,12175,12024,13063,14301,15635,19363,15662,13733,13192,14740,19644,15800,12474,10468,7044,3450,1165,213
津山市,54320,2175,2260,2470,2583,2470,2520,2735,3130,3516,3168,3023,3307,3595,4340,3177,3011,2873,2348,1184,378,57
玉野市,31876,959,973,1140,1285,1340,1335,1429,1498,2054,1763,1730,1847,2271,3205,2622,2099,1909,1408,737,233,39
笠岡市,26702,787,910,978,1185,1141,1082,1132,1167,1619,1567,1557,1710,1812,2288,1914,1721,1770,1329,731,243,59
井原市,22052,618,757,845,1034,978,828,897,1089,1344,1246,1187,1339,1532,1789,1587,1451,1428,1207,655,208,33
総社市,34976,1468,1604,1609,1695,1713,1841,1922,2131,2519,1978,1913,2057,2239,2925,2119,1678,1577,1114,658,174,42
高梁市,16869,428,483,539,777,859,605,635,698,776,735,828,1032,1194,1344,1139,1291,1374,1216,668,199,49
新見市,16315,438,487,621,661,550,544,618,657,797,700,863,1088,1191,1374,1124,1301,1381,1086,631,167,36
備前市,18997,532,535,657,874,796,757,754,851,1061,1091,1083,1099,1334,1769,1564,1429,1252,947,446,147,19
瀬戸内市,19986,580,692,849,913,912,881,883,1070,1371,1152,1099,1201,1360,1743,1444,1155,1102,903,491,158,27
赤磐市,23346,886,992,1024,1073,956,1008,1159,1356,1557,1249,1256,1407,1735,2189,1594,1254,1133,903,440,156,19
真庭市,25020,799,927,994,1106,902,897,1083,1195,1246,1125,1291,1600,1946,2030,1603,1721,1883,1593,809,224,46
美作市,15308,434,468,606,597,521,547,628,666,803,698,779,964,1130,1311,1016,1100,1184,1101,554,172,29
浅口市,18254,542,655,717,828,776,713,779,901,1192,1043,957,1031,1259,1722,1456,1183,1107,817,404,147,25
和気町,7787,203,241,307,321,276,267,305,377,460,453,407,444,568,744,626,551,511,413,227,73,13
早島町,6325,266,316,288,309,269,308,377,428,512,362,294,344,381,551,420,292,265,211,93,23,7
里庄町,5843,228,247,265,254,300,317,298,322,409,332,308,362,373,479,403,293,324,195,100,28,6
矢掛町,7756,230,254,268,352,350,265,334,360,450,419,385,459,543,684,560,501,535,436,256,93,22
新庄村,505,20,15,20,23,13,15,13,21,20,22,24,31,35,36,34,43,47,35,23,7,3
鏡野町,7112,239,259,274,268,270,312,348,353,387,313,303,502,526,587,446,431,522,454,251,56,11
勝央町,5863,245,253,240,254,248,321,333,359,341,296,311,397,404,412,312,330,315,289,130,47,9
奈義町,3145,135,122,116,153,155,128,142,145,167,134,153,179,235,265,192,183,189,202,108,29,3
西粟倉村,818,29,40,29,23,33,32,42,37,38,33,42,51,64,65,35,41,89,52,25,9,2
久米南町,2665,55,83,111,106,95,75,80,92,122,110,137,167,192,251,195,221,213,189,105,36,5
美咲町,7962,230,278,311,282,274,262,342,355,426,370,382,467,588,706,516,587,635,550,286,103,12
吉備中央町,6352,165,179,190,308,261,258,260,262,306,274,334,408,461,521,404,464,505,471,245,65,11
