人口（年齢別）,0歳（人）,1歳（人）,2歳（人）,3歳（人）,4歳（人）,5歳（人）,6歳（人）,7歳（人）
岡山市立芳泉小学校,197,199,218,212,221,223,214,232
岡山市立第三藤田小学校,9,21,20,24,27,20,21,37
岡山市立第二藤田小学校,50,58,64,63,66,64,48,67
岡山市立第一藤田小学校,24,31,28,36,31,46,34,50
岡山市立灘崎小学校,23,24,31,40,46,42,57,47
岡山市立彦崎小学校,38,34,33,45,32,44,44,48
岡山市立七区小学校,12,17,15,17,12,30,27,17
岡山市立曾根小学校,14,22,15,27,22,33,27,21
岡山市立興除小学校,36,31,42,44,40,33,47,46
岡山市立南輝小学校,77,96,86,82,80,84,92,78
岡山市立東疇小学校,36,60,46,58,54,61,55,59
岡山市立浦安小学校,60,59,83,86,81,91,96,78
岡山市立平福小学校,101,100,103,92,90,84,98,95
岡山市立妹尾小学校,78,71,80,53,95,81,91,73
岡山市立箕島小学校,42,55,47,40,55,60,51,36
岡山市立芳泉小学校,197,199,218,212,221,223,214,232
岡山市立福浜小学校,191,181,164,186,139,157,148,138
岡山市立芳明小学校,156,142,142,128,115,127,89,95
岡山市立芳田小学校,155,123,134,127,122,91,107,86
岡山市立甲浦小学校,36,44,25,37,38,39,43,45
岡山市立福島小学校,41,44,60,63,60,62,67,56
岡山市立福田小学校,116,129,123,115,155,145,138,148
岡山市立小串小学校,5,1,5,5,3,6,7,2
岡山市立西大寺南小学校,41,38,47,35,33,34,46,39
岡山市立太伯小学校,11,19,12,19,25,15,28,20
岡山市立幸島小学校,11,8,12,13,15,14,14,17
岡山市立大宮小学校,4,4,6,9,3,4,5,3
岡山市立開成小学校,13,16,28,22,22,19,27,27
岡山市立豊小学校,33,40,39,39,45,44,50,41
岡山市立政田小学校,18,33,24,27,33,34,36,40
岡山市立芥子山小学校,135,139,125,140,149,147,164,140
岡山市立可知小学校,51,66,77,62,80,61,70,78
岡山市立西大寺小学校,52,78,67,73,84,83,84,87
岡山市立雄神小学校,9,13,14,13,9,16,13,16
岡山市立城東台小学校,8,19,16,21,29,27,20,33
岡山市立角山小学校,7,6,2,8,8,6,9,7
岡山市立平島小学校,41,33,32,45,40,43,38,40
岡山市立御休小学校,18,18,12,21,21,27,22,12
岡山市立浮田小学校,24,29,29,31,25,46,45,46
岡山市立古都小学校,31,28,30,26,32,36,39,37
岡山市立江西小学校,106,94,100,105,101,120,86,91
岡山市立千種小学校,28,25,20,26,28,26,26,34
岡山市立朝日小学校,3,6,7,8,6,13,7,3
岡山市立旭操小学校,76,92,86,106,80,127,99,96
岡山市立平井小学校,144,130,132,139,133,121,151,130
岡山市立操南小学校,54,64,60,84,95,101,112,114
岡山市立旭東小学校,38,54,38,33,36,44,25,39
岡山市立三勲小学校,95,99,109,109,111,121,118,115
岡山市立富山小学校,102,115,117,114,118,129,126,136
岡山市立高島小学校,188,170,157,203,194,175,173,160
岡山市立旭竜小学校,36,28,18,30,27,23,31,23
岡山市立竜之口小学校,68,61,71,74,72,92,78,115
岡山市立財田小学校,78,86,92,92,94,97,84,97
岡山市立幡多小学校,201,211,200,172,172,170,170,155
岡山市立宇野小学校,216,212,191,163,178,177,189,158
岡山市立操明小学校,93,118,105,102,104,92,106,111
岡山市立大元小学校,184,170,175,209,198,182,237,175
岡山市立岡南小学校,147,140,131,126,83,96,98,88
岡山市立御南小学校,215,208,179,179,154,172,148,141
岡山市立清輝小学校,48,38,41,36,31,49,30,23
岡山市立陵南小学校,156,188,183,152,154,156,148,159
岡山市立吉備小学校,180,209,221,213,215,214,213,192
岡山市立石井小学校,36,34,41,41,37,33,40,36
岡山市立鹿田小学校,179,184,179,207,162,172,172,160
岡山市立三門小学校,100,85,82,89,65,76,58,61
岡山市立岡山中央小学校,108,143,111,122,133,114,143,159
岡山市立伊島小学校,81,94,114,115,131,111,132,170
岡山市立鯉山小学校,20,31,22,24,30,34,30,30
岡山市立中山小学校,106,89,125,99,92,104,75,91
岡山市立津島小学校,86,109,100,120,101,123,118,126
岡山市立平津小学校,22,26,27,27,27,28,36,32
岡山市立御野小学校,96,92,125,115,97,119,108,107
岡山市立桃丘小学校,22,28,37,25,37,33,32,33
岡山市立庄内小学校,55,68,63,78,74,65,81,109
岡山市立横井小学校,128,139,139,161,146,161,173,151
岡山市立馬屋下小学校,18,12,18,23,17,21,21,18
岡山市立足守小学校,7,17,17,18,24,24,26,32
岡山市立野谷小学校,12,10,15,22,14,26,19,30
岡山市立牧石小学校,53,43,40,48,59,45,54,44
岡山市立馬屋上小学校,6,2,5,2,5,3,4,8
岡山市立御津南小学校,24,16,30,24,27,22,28,26
岡山市立五城小学校,9,8,7,5,10,7,8,8
岡山市立竹枝小学校,2,5,3,6,6,2,4,6
岡山市立御津小学校,23,28,32,28,24,33,32,30
岡山市立建部小学校,11,13,11,21,12,19,21,23
岡山市立福渡小学校,4,4,9,9,4,8,6,13
岡山市立大野小学校,88,78,88,89,80,79,89,73
岡山市立加茂小学校,25,18,39,37,40,35,44,44
岡山市立西小学校,273,285,244,260,228,218,216,195
