世帯数・人口（岡山市）,世帯数,人口（計）,人口（女性）,人口（男性）
岡山市立第三藤田小学校,1114,2806,1370,1370
岡山市立第二藤田小学校,2872,6815,3330,3330
岡山市立第一藤田小学校,1364,3692,1804,1804
岡山市立灘崎小学校迫川分校,1926,5064,2416,2416
岡山市立灘崎小学校,1926,5064,2416,2416
岡山市立彦崎小学校,2072,5317,2598,2598
岡山市立七区小学校,1325,3364,1618,1618
岡山市立興除小学校,1780,4661,2243,2243
岡山市立南輝小学校,4800,10771,5127,5127
岡山市立東疇小学校,3030,7502,3513,3513
岡山市立浦安小学校,3157,7812,3886,3886
岡山市立平福小学校,4271,9818,4766,4766
岡山市立妹尾小学校,3968,9216,4388,4388
岡山市立箕島小学校,1780,4375,2125,2125
岡山市立芳泉小学校,9063,20716,10083,10083
岡山市立福浜小学校,7942,17003,8317,8317
岡山市立芳明小学校,5303,11556,5630,5630
岡山市立芳田小学校,5249,11122,5519,5519
岡山市立甲浦小学校,2137,4988,2460,2460
岡山市立福島小学校,2835,6235,3042,3042
岡山市立福田小学校,4745,12278,6015,6015
岡山市立小串小学校,645,1378,654,654
岡山市立西大寺南小学校,1818,4386,2145,2145
岡山市立太伯小学校,1118,2778,1342,1342
岡山市立幸島小学校,942,2446,1155,1155
岡山市立大宮小学校,518,1128,527,527
岡山市立開成小学校,1244,3033,1475,1475
岡山市立豊小学校,2013,4956,2371,2371
岡山市立政田小学校,1440,3682,1779,1779
岡山市立芥子山小学校,5573,14353,6889,6889
岡山市立可知小学校,3854,9019,4146,4146
岡山市立西大寺小学校,4405,9615,4544,4544
岡山市立雄神小学校,1262,2647,1226,1226
岡山市立城東台小学校,1370,3602,1745,1745
岡山市立角山小学校,490,1159,573,573
岡山市立平島小学校,2132,5015,2421,2421
岡山市立御休小学校,1088,2556,1234,1234
岡山市立浮田小学校,1563,3903,1858,1858
岡山市立古都小学校,2306,5062,2389,2389
岡山市立江西小学校,4718,10908,5290,5290
岡山市立千種小学校,1783,4121,1936,1936
岡山市立朝日小学校,864,1987,910,910
岡山市立旭操小学校,3767,8895,4269,4269
岡山市立平井小学校,5967,13230,6306,6306
岡山市立操南小学校,3459,8546,4110,4110
岡山市立旭東小学校,3058,5581,2506,2506
岡山市立三勲小学校,5375,11582,5363,5363
岡山市立富山小学校,6097,13690,6428,6428
岡山市立高島小学校,6575,15810,7506,7506
岡山市立旭竜小学校,2238,4134,1932,1932
岡山市立竜之口小学校,3245,7826,3714,3714
岡山市立財田小学校,4677,9932,4742,4742
岡山市立幡多小学校,8291,18834,9004,9004
岡山市立宇野小学校,9374,19357,9107,9107
岡山市立操明小学校,3588,8738,4249,4249
岡山市立大元小学校,7709,16641,8087,8087
岡山市立岡南小学校,8854,15143,7401,7401
岡山市立御南小学校,5214,12381,6208,6208
岡山市立清輝小学校,4890,7268,3438,3438
岡山市立陵南小学校,5767,14050,6824,6824
岡山市立吉備小学校,7667,18329,8890,8890
岡山市立石井小学校,3849,6489,2991,2991
岡山市立鹿田小学校,9946,18623,8806,8806
岡山市立三門小学校,5472,9991,4828,4828
岡山市立岡山中央小学校,11298,19389,8896,8896
岡山市立伊島小学校,6625,13631,6599,6599
岡山市立鯉山小学校,1349,3420,1663,1663
岡山市立中山小学校,4404,10961,5247,5247
岡山市立津島小学校,5749,11768,5737,5737
岡山市立平津小学校,1565,3733,1763,1763
岡山市立御野小学校,6986,13755,6907,6907
岡山市立桃丘小学校,1734,4226,1967,1967
岡山市立庄内小学校,3812,9669,4630,4630
岡山市立横井小学校,7050,16169,7874,7874
岡山市立馬屋下小学校,940,2352,1109,1109
岡山市立足守小学校,1198,2936,1409,1409
岡山市立野谷小学校,1250,2950,1376,1376
岡山市立牧石小学校,3806,7461,3726,3726
岡山市立馬屋上小学校,437,1017,477,477
岡山市立御津南小学校,1469,3593,1725,1725
岡山市立五城小学校,773,1717,825,825
岡山市立竹枝小学校,318,689,317,317
岡山市立御津小学校,2019,4122,2008,2008
岡山市立建部小学校,1366,3147,1499,1499
岡山市立福渡小学校,885,1830,860,860
岡山市立大野小学校,3335,7439,3642,3642
岡山市立加茂小学校,1724,4517,2156,2156
岡山市立西小学校,8332,18387,9142,9142
