幼稚園内人口,三歳（人）,四歳（人）,五歳（人）,園児人口総計（人）,学級数（学級）,教員数（人）,職員数（人）
阿曽小学校,5,12,11,28,3,4,1
阿波小学校,0,0,0,0,0,0,0
旭丘小学校,19,22,22,63,3,6,0
旭操小学校,0,31,28,59,2,4,0
旭東小学校,0,4,6,10,1,1,0
旭竜小学校,0,6,6,12,2,2,0
葦高小学校,47,81,76,204,8,11,0
伊島小学校,0,45,59,104,4,6,1
伊部小学校,0,12,17,29,2,3,0
維新小学校,4,5,10,19,2,3,1
井原小学校,6,11,15,32,3,6,0
稲倉小学校,2,4,4,10,3,2,0
院庄小学校,0,5,9,14,2,2,0
宇治小学校,1,2,0,3,2,2,0
宇野小学校,20,50,71,141,7,9,1
浦安小学校,0,31,46,77,4,6,1
荏原小学校,5,7,11,23,3,6,0
英田小学校,0,11,4,15,2,4,0
円城小学校,4,11,5,20,3,4,0
薗小学校,13,14,17,44,3,5,0
横井小学校,0,44,40,84,4,6,1
岡山中央小学校,0,13,20,33,2,3,0
岡田小学校,24,20,23,67,3,5,0
乙島小学校,0,14,15,29,2,4,0
加茂小学校,0,31,30,61,4,5,0
可知小学校,16,19,21,56,3,4,0
河辺小学校,0,9,5,14,2,2,0
芥子山小学校,0,52,53,105,4,6,1
開成小学校,0,7,12,19,2,3,1
角山小学校,0,2,3,5,1,1,0
笠岡小学校,9,5,9,23,3,5,0
樫邑小学校,0,2,1,3,1,2,0
鴨方西小学校,0,11,16,27,2,6,0
鴨方東小学校,0,41,39,80,4,7,0
吉永小学校,25,25,45,95,5,7,1
吉田小学校,7,9,4,20,3,4,0
吉備高原小学校,2,4,8,14,3,3,0
吉備小学校,59,102,107,268,11,14,1
牛窓西小学校,0,0,0,0,0,0,0
牛窓東小学校,7,11,10,28,3,4,0
牛窓北小学校,0,0,0,0,0,0,0
巨瀬小学校,0,3,2,5,1,3,0
郷内小学校,0,21,19,40,2,4,0
玉原小学校,4,6,6,16,2,5,1
玉川小学校,1,4,0,5,1,2,0
玉津小学校,0,0,0,0,0,0,0
玉島小学校,16,22,18,56,3,7,0
琴浦西小学校,0,19,25,44,3,7,0
琴浦東小学校,5,14,9,28,3,4,0
金浦小学校,10,8,10,28,3,3,0
金光小学校,0,27,34,61,2,5,0
県主小学校,4,5,3,12,2,2,0
古都小学校,10,12,9,31,3,4,0
呉妹小学校,2,7,3,12,2,4,0
御休小学校,0,9,9,18,2,3,0
御北小学校,9,8,10,27,3,4,0
御野小学校,20,32,25,77,4,6,0
鯉山小学校,11,14,13,38,3,4,0
向陽小学校,0,6,7,13,2,2,0
幸島小学校,0,3,10,13,1,1,0
江西小学校,0,42,35,77,3,4,0
甲浦小学校,0,14,17,31,2,2,0
行幸小学校,21,26,26,73,3,4,0
香登小学校,0,8,7,15,2,3,0
高屋小学校,0,10,9,19,2,3,0
高田小学校,0,11,10,21,2,3,0
高島小学校,40,74,81,195,8,12,1
高梁小学校,22,17,21,60,6,14,0
国府小学校,26,23,26,75,3,5,0
今井小学校,1,6,5,12,3,3,1
今城小学校,6,13,9,28,3,4,0
佐良山小学校,0,7,6,13,2,2,0
財田小学校,0,14,24,38,2,3,0
桜が丘小学校,13,17,25,55,3,9,0
三勲小学校,20,43,34,97,4,5,0
三門小学校,20,19,26,65,3,4,0
山手小学校,35,29,37,101,5,10,1
山田小学校,6,15,10,31,5,7,0
山陽小学校,17,15,17,49,3,7,0
山陽西小学校,8,6,6,20,3,8,0
山陽東小学校,26,36,34,96,5,10,0
山陽北小学校,28,31,30,89,4,10,0
児島小学校,0,19,22,41,2,4,0
鹿田小学校,20,48,56,124,5,6,0
出部小学校,23,30,27,80,4,8,0
小串小学校,0,0,0,0,0,0,0
庄小学校,61,79,65,205,8,11,0
庄内小学校,0,26,29,55,2,3,0
